time	V(v1)	V(v2)	V(vo1)	V(vo2)
0.000000000000000e+00	1.224647e-18	0.000000e+00	-2.666963e-04	-1.092112e-08
2.114021854145133e-07	-1.328283e-05	1.328283e-05	-2.770277e-04	1.197410e-05
4.228043708290266e-07	-2.656559e-05	2.656559e-05	-2.935588e-04	3.629396e-05
6.342065562435399e-07	-3.984827e-05	3.984827e-05	-3.162897e-04	7.294863e-05
8.456087416580533e-07	-5.313086e-05	5.313086e-05	-3.452202e-04	1.219381e-04
1.057010927072567e-06	-6.641339e-05	6.641339e-05	-3.803504e-04	1.832625e-04
1.268413112487080e-06	-7.969583e-05	7.969583e-05	-4.216803e-04	2.569216e-04
1.479815297901593e-06	-9.297820e-05	9.297820e-05	-4.692099e-04	3.429156e-04
2.604208280140939e-06	-1.636199e-04	1.636199e-04	-7.271461e-04	8.452426e-04
2.062643958760515e-05	-1.292372e-03	1.292372e-03	-5.226308e-03	9.839675e-03
3.833738217550918e-05	-2.385582e-03	2.385582e-03	-9.544653e-03	1.847810e-02
7.375926735131723e-05	-4.470307e-03	4.470307e-03	-1.754994e-02	3.449522e-02
1.346684625046475e-04	-7.487318e-03	7.487318e-03	-2.925414e-02	5.792182e-02
1.822269013601631e-04	-9.106958e-03	9.106958e-03	-3.623866e-02	7.190987e-02
2.044245533432012e-04	-9.592786e-03	9.592786e-03	-3.843814e-02	7.631902e-02
2.208880508239740e-04	-9.833175e-03	9.833175e-03	-3.944642e-02	7.834359e-02
2.382848852376931e-04	-9.972922e-03	9.972922e-03	-3.998531e-02	7.943004e-02
2.606390636973682e-04	-9.977666e-03	9.977666e-03	-3.999495e-02	7.946052e-02
2.823188071793213e-04	-9.794530e-03	9.794530e-03	-3.918802e-02	7.785743e-02
3.174860422071293e-04	-9.114394e-03	9.114394e-03	-3.611062e-02	7.171915e-02
3.736294849574302e-04	-7.131695e-03	7.131695e-03	-2.795640e-02	5.543333e-02
4.367349097447569e-04	-3.871203e-03	3.871203e-03	-1.542537e-02	3.038923e-02
4.865423456794018e-04	-8.445621e-04	8.445621e-04	-3.759806e-03	7.064748e-03
5.322525391956732e-04	2.012645e-03	-2.012645e-03	7.422592e-03	-1.530092e-02
5.780090898463106e-04	4.707543e-03	-4.707543e-03	1.791000e-02	-3.628326e-02
6.325522069754887e-04	7.398518e-03	-7.398518e-03	2.844701e-02	-5.737348e-02
6.802218925713587e-04	9.054198e-03	-9.054198e-03	3.548448e-02	-7.146744e-02
7.029590387840083e-04	9.566371e-03	-9.566371e-03	3.779128e-02	-7.609142e-02
7.197890543942110e-04	9.820380e-03	-9.820380e-03	3.885969e-02	-7.823639e-02
7.369560091748214e-04	9.966433e-03	-9.966433e-03	3.942076e-02	-7.936709e-02
7.601426181156736e-04	9.979701e-03	-9.979701e-03	3.946475e-02	-7.946668e-02
7.815111003164419e-04	9.804639e-03	-9.804639e-03	3.870195e-02	-7.795169e-02
8.161810081051813e-04	9.147824e-03	-9.147824e-03	3.572526e-02	-7.201464e-02
8.715757166587447e-04	7.221556e-03	-7.221556e-03	2.777170e-02	-5.612998e-02
9.354996514554634e-04	3.942647e-03	-3.942647e-03	1.515852e-02	-3.092204e-02
9.854754783377390e-04	9.113364e-04	-9.113364e-04	3.486780e-03	-7.585442e-03
1.031220759821476e-03	-1.949101e-03	1.949101e-03	-7.706555e-03	1.480194e-02
1.077013000743563e-03	-4.652234e-03	4.652234e-03	-1.822626e-02	3.584874e-02
1.131594831907144e-03	-7.357915e-03	7.357915e-03	-2.881047e-02	5.703326e-02
1.179882650880671e-03	-9.045129e-03	9.045129e-03	-3.597552e-02	7.138256e-02
1.202711470309449e-03	-9.561828e-03	9.561828e-03	-3.830517e-02	7.605227e-02
1.219603551211022e-03	-9.818175e-03	9.818175e-03	-3.938390e-02	7.821791e-02
1.236731953344056e-03	-9.965271e-03	9.965271e-03	-3.994865e-02	7.935593e-02
1.260058860011016e-03	-9.980034e-03	9.980034e-03	-3.999867e-02	7.946766e-02
1.281374821392165e-03	-9.806320e-03	9.806320e-03	-3.924322e-02	7.796736e-02
1.315960768215505e-03	-9.153404e-03	9.153404e-03	-3.628339e-02	7.206400e-02
1.371228849815770e-03	-7.236615e-03	7.236615e-03	-2.835789e-02	5.623543e-02
1.435722209923546e-03	-3.929792e-03	3.929792e-03	-1.563612e-02	3.081048e-02
1.485706862336657e-03	-8.968576e-04	8.968576e-04	-3.963555e-03	7.472199e-03
1.531444896643210e-03	1.962912e-03	-1.962912e-03	7.227364e-03	-1.491039e-02
1.577230779463249e-03	4.664342e-03	-4.664342e-03	1.774307e-02	-3.594921e-02
1.631543785132850e-03	7.355743e-03	-7.355743e-03	2.827042e-02	-5.701995e-02
1.679914749604395e-03	9.045988e-03	-9.045988e-03	3.544509e-02	-7.138854e-02
1.702734890093790e-03	9.562260e-03	-9.562260e-03	3.777363e-02	-7.605600e-02
1.719621097795852e-03	9.818383e-03	-9.818383e-03	3.885138e-02	-7.821968e-02
1.736753143466138e-03	9.965382e-03	-9.965382e-03	3.941578e-02	-7.935701e-02
1.760066782151649e-03	9.980003e-03	-9.980003e-03	3.946523e-02	-7.946759e-02
1.781387711214595e-03	9.806161e-03	-9.806161e-03	3.870908e-02	-7.796590e-02
1.815981600028000e-03	9.152877e-03	-9.152877e-03	3.574766e-02	-7.205936e-02
1.871261662187239e-03	7.235192e-03	-7.235192e-03	2.782409e-02	-5.623465e-02
1.935352473581387e-03	3.951144e-03	-3.951144e-03	1.518928e-02	-3.098354e-02
1.985370077408190e-03	9.179311e-04	-9.179311e-04	3.512395e-03	-7.636665e-03
2.031136745966769e-03	-1.943924e-03	1.943924e-03	-7.686104e-03	1.476103e-02
2.076950663731674e-03	-4.648766e-03	4.648766e-03	-1.821283e-02	3.582185e-02
2.131501941765849e-03	-7.353961e-03	7.353961e-03	-2.879434e-02	5.700096e-02
2.179849962124170e-03	-9.044252e-03	9.044252e-03	-3.597143e-02	7.137436e-02
2.202687621082677e-03	-9.561390e-03	9.561390e-03	-3.830329e-02	7.604849e-02
2.219585683281637e-03	-9.817962e-03	9.817962e-03	-3.938301e-02	7.821613e-02
2.236710375822566e-03	-9.965158e-03	9.965158e-03	-3.994811e-02	7.935485e-02
2.260050792885528e-03	-9.980067e-03	9.980067e-03	-3.999872e-02	7.946776e-02
2.281361695654153e-03	-9.806481e-03	9.806481e-03	-3.924397e-02	7.796887e-02
2.315939554997379e-03	-9.153942e-03	9.153942e-03	-3.628577e-02	7.206876e-02
2.371195435979987e-03	-7.238064e-03	7.238064e-03	-2.836335e-02	5.624633e-02
2.435714783009993e-03	-3.930222e-03	3.930222e-03	-1.563737e-02	3.081297e-02
2.485716646539975e-03	-8.962454e-04	8.962454e-04	-3.961097e-03	7.467281e-03
2.531474281480244e-03	1.964723e-03	-1.964723e-03	7.234327e-03	-1.492432e-02
2.577280042411874e-03	4.667080e-03	-4.667080e-03	1.775352e-02	-3.597012e-02
2.631602493549634e-03	7.358241e-03	-7.358241e-03	2.828071e-02	-5.704055e-02
2.679936554532463e-03	9.046572e-03	-9.046572e-03	3.544780e-02	-7.139396e-02
2.702750799932378e-03	9.562552e-03	-9.562552e-03	3.777488e-02	-7.605852e-02
2.719633017997989e-03	9.818526e-03	-9.818526e-03	3.885197e-02	-7.822087e-02
2.736767539263641e-03	9.965457e-03	-9.965457e-03	3.941614e-02	-7.935774e-02
2.760072164081503e-03	9.979982e-03	-9.979982e-03	3.946519e-02	-7.946753e-02
2.781396467944951e-03	9.806054e-03	-9.806054e-03	3.870858e-02	-7.796489e-02
2.815995752094166e-03	9.152520e-03	-9.152520e-03	3.574607e-02	-7.205619e-02
2.871283952837757e-03	7.234225e-03	-7.234225e-03	2.782042e-02	-5.622731e-02
2.935359641218264e-03	3.950730e-03	-3.950730e-03	1.518776e-02	-3.098049e-02
2.985387293895634e-03	9.168540e-04	-9.168540e-04	3.508145e-03	-7.628165e-03
3.031170089764673e-03	-1.945978e-03	1.945978e-03	-7.694051e-03	1.477693e-02
3.077000469353733e-03	-4.651537e-03	4.651537e-03	-1.822352e-02	3.584326e-02
3.131552370704688e-03	-7.356108e-03	7.356108e-03	-2.880343e-02	5.701917e-02
3.179859072840696e-03	-9.044497e-03	9.044497e-03	-3.597275e-02	7.137701e-02
3.202694268017791e-03	-9.561512e-03	9.561512e-03	-3.830381e-02	7.604954e-02
3.219590663149302e-03	-9.818020e-03	9.818020e-03	-3.938326e-02	7.821663e-02
3.236716389501083e-03	-9.965190e-03	9.965190e-03	-3.994826e-02	7.935515e-02
3.260053041217503e-03	-9.980057e-03	9.980057e-03	-3.999870e-02	7.946773e-02
3.281365353838181e-03	-9.806436e-03	9.806436e-03	-3.924377e-02	7.796845e-02
3.315945467200668e-03	-9.153792e-03	9.153792e-03	-3.628511e-02	7.206743e-02
3.371204748612975e-03	-7.237660e-03	7.237660e-03	-2.836172e-02	5.624308e-02
3.435724848149927e-03	-3.929640e-03	3.929640e-03	-1.563505e-02	3.080834e-02
3.485733765036024e-03	-8.951741e-04	8.951741e-04	-3.956883e-03	7.458854e-03
3.531503379050140e-03	1.966515e-03	-1.966515e-03	7.241272e-03	-1.493821e-02
3.577321373267031e-03	4.669376e-03	-4.669376e-03	1.776234e-02	-3.598778e-02
3.631650022982049e-03	7.360263e-03	-7.360263e-03	2.828911e-02	-5.705738e-02
3.679950783863087e-03	9.046953e-03	-9.046953e-03	3.544964e-02	-7.139763e-02
3.702761182535916e-03	9.562743e-03	-9.562743e-03	3.777570e-02	-7.606017e-02
3.719640797101593e-03	9.818618e-03	-9.818618e-03	3.885235e-02	-7.822165e-02
3.736776934099201e-03	9.965506e-03	-9.965506e-03	3.941637e-02	-7.935821e-02
3.760075676343914e-03	9.979968e-03	-9.979968e-03	3.946517e-02	-7.946748e-02
3.781402182607670e-03	9.805983e-03	-9.805983e-03	3.870825e-02	-7.796423e-02
3.816004987733666e-03	9.152286e-03	-9.152286e-03	3.574504e-02	-7.205412e-02
3.871298499546276e-03	7.233594e-03	-7.233594e-03	2.781799e-02	-5.622246e-02
3.935366868657795e-03	3.950313e-03	-3.950313e-03	1.518618e-02	-3.097734e-02
3.985399199034859e-03	9.161091e-04	-9.161091e-04	3.505216e-03	-7.622308e-03
4.031190737851767e-03	-1.947251e-03	1.947251e-03	-7.698979e-03	1.478679e-02
4.077030059597175e-03	-4.653183e-03	4.653183e-03	-1.822988e-02	3.585598e-02
4.131582705600973e-03	-7.357399e-03	7.357399e-03	-2.880890e-02	5.703011e-02
4.179864632041454e-03	-9.044646e-03	9.044646e-03	-3.597356e-02	7.137862e-02
4.202698323902649e-03	-9.561587e-03	9.561587e-03	-3.830414e-02	7.605018e-02
4.219593701823904e-03	-9.818057e-03	9.818057e-03	-3.938341e-02	7.821693e-02
4.236720059024521e-03	-9.965208e-03	9.965208e-03	-3.994836e-02	7.935534e-02
4.260054413135155e-03	-9.980052e-03	9.980052e-03	-3.999870e-02	7.946771e-02
4.281367586037833e-03	-9.806409e-03	9.806409e-03	-3.924363e-02	7.796819e-02
4.315949074782854e-03	-9.153700e-03	9.153700e-03	-3.628470e-02	7.206662e-02
4.371210431084614e-03	-7.237413e-03	7.237413e-03	-2.836073e-02	5.624111e-02
4.435730652861792e-03	-3.929305e-03	3.929305e-03	-1.563373e-02	3.080569e-02
4.485742939029863e-03	-8.946000e-04	8.946000e-04	-3.954626e-03	7.454341e-03
4.531518696917901e-03	1.967459e-03	-1.967459e-03	7.244929e-03	-1.494553e-02
4.577342976597917e-03	4.670577e-03	-4.670577e-03	1.776697e-02	-3.599703e-02
4.631673518803921e-03	7.361262e-03	-7.361262e-03	2.829330e-02	-5.706577e-02
4.679956411194744e-03	9.047104e-03	-9.047104e-03	3.545040e-02	-7.139915e-02
4.702765288642318e-03	9.562818e-03	-9.562818e-03	3.777603e-02	-7.606082e-02
4.719643873598483e-03	9.818655e-03	-9.818655e-03	3.885251e-02	-7.822195e-02
4.736780649624734e-03	9.965525e-03	-9.965525e-03	3.941646e-02	-7.935839e-02
4.760077065386394e-03	9.979962e-03	-9.979962e-03	3.946516e-02	-7.946747e-02
4.781404442662687e-03	9.805955e-03	-9.805955e-03	3.870812e-02	-7.796398e-02
4.816008640270056e-03	9.152193e-03	-9.152193e-03	3.574463e-02	-7.205331e-02
4.871304252481569e-03	7.233344e-03	-7.233344e-03	2.781700e-02	-5.622049e-02
4.935371489265937e-03	3.950046e-03	-3.950046e-03	1.518514e-02	-3.097527e-02
