Freq.	V(vo2)
1.00000000000000e+00	(1.20400927685987e+01dB,1.79999595399628e+02°)
1.02329299228075e+00	(1.20400927685935e+01dB,1.79999585975275e+02°)
1.04712854805090e+00	(1.20400927685879e+01dB,1.79999576331400e+02°)
1.07151930523761e+00	(1.20400927685822e+01dB,1.79999566462891e+02°)
1.09647819614318e+00	(1.20400927685761e+01dB,1.79999556364514e+02°)
1.12201845430196e+00	(1.20400927685698e+01dB,1.79999546030916e+02°)
1.14815362149688e+00	(1.20400927685631e+01dB,1.79999535456618e+02°)
1.17489755493953e+00	(1.20400927685562e+01dB,1.79999524636013e+02°)
1.20226443461741e+00	(1.20400927685489e+01dB,1.79999513563363e+02°)
1.23026877081238e+00	(1.20400927685413e+01dB,1.79999502232798e+02°)
1.25892541179417e+00	(1.20400927685333e+01dB,1.79999490638311e+02°)
1.28824955169313e+00	(1.20400927685250e+01dB,1.79999478773753e+02°)
1.31825673855641e+00	(1.20400927685162e+01dB,1.79999466632834e+02°)
1.34896288259165e+00	(1.20400927685070e+01dB,1.79999454209116e+02°)
1.38038426460288e+00	(1.20400927684974e+01dB,1.79999441496014e+02°)
1.41253754462275e+00	(1.20400927684874e+01dB,1.79999428486785e+02°)
1.44543977074593e+00	(1.20400927684769e+01dB,1.79999415174532e+02°)
1.47910838816821e+00	(1.20400927684659e+01dB,1.79999401552197e+02°)
1.51356124843621e+00	(1.20400927684543e+01dB,1.79999387612556e+02°)
1.54881661891248e+00	(1.20400927684422e+01dB,1.79999373348221e+02°)
1.58489319246111e+00	(1.20400927684296e+01dB,1.79999358751625e+02°)
1.62181009735893e+00	(1.20400927684164e+01dB,1.79999343815032e+02°)
1.65958690743756e+00	(1.20400927684025e+01dB,1.79999328530521e+02°)
1.69824365246174e+00	(1.20400927683880e+01dB,1.79999312889987e+02°)
1.73780082874937e+00	(1.20400927683728e+01dB,1.79999296885139e+02°)
1.77827941003892e+00	(1.20400927683568e+01dB,1.79999280507490e+02°)
1.81970085860998e+00	(1.20400927683401e+01dB,1.79999263748356e+02°)
1.86208713666287e+00	(1.20400927683227e+01dB,1.79999246598853e+02°)
1.90546071796325e+00	(1.20400927683044e+01dB,1.79999229049886e+02°)
1.94984459975804e+00	(1.20400927682853e+01dB,1.79999211092150e+02°)
1.99526231496888e+00	(1.20400927682653e+01dB,1.79999192716126e+02°)
2.04173794466953e+00	(1.20400927682443e+01dB,1.79999173912069e+02°)
2.08929613085404e+00	(1.20400927682223e+01dB,1.79999154670009e+02°)
2.13796208950223e+00	(1.20400927681993e+01dB,1.79999134979744e+02°)
2.18776162394955e+00	(1.20400927681752e+01dB,1.79999114830834e+02°)
2.23872113856834e+00	(1.20400927681500e+01dB,1.79999094212596e+02°)
2.29086765276777e+00	(1.20400927681235e+01dB,1.79999073114096e+02°)
2.34422881531992e+00	(1.20400927680959e+01dB,1.79999051524150e+02°)
