time	V(v1)	V(v2)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	0.000000e+00	-2.666963e-04	-1.092112e-08
3.046299448842189e-07	0.000000e+00	1.914060e-05	-2.683747e-04	2.186016e-05
6.092598897684378e-07	0.000000e+00	3.828097e-05	-2.727830e-04	5.306868e-05
9.138898346526567e-07	0.000000e+00	5.742110e-05	-2.799214e-04	9.361465e-05
1.218519779536876e-06	0.000000e+00	7.656099e-05	-2.897897e-04	1.434981e-04
1.523149724421095e-06	0.000000e+00	9.570064e-05	-3.023880e-04	2.027189e-04
1.827779669305313e-06	0.000000e+00	1.148401e-04	-3.177162e-04	2.712772e-04
2.132409614189532e-06	0.000000e+00	1.339792e-04	-3.357745e-04	3.491730e-04
2.938787365460712e-05	0.000000e+00	1.836020e-03	-2.025451e-03	7.114980e-03
5.639779196136777e-05	0.000000e+00	3.469881e-03	-3.613106e-03	1.346161e-02
1.104176285748891e-04	0.000000e+00	6.394437e-03	-6.400594e-03	2.459762e-02
1.706422592213197e-04	0.000000e+00	8.782436e-03	-8.888196e-03	3.452564e-02
1.960136967358106e-04	0.000000e+00	9.430191e-03	-9.628269e-03	3.747453e-02
2.146021732640146e-04	0.000000e+00	9.753685e-03	-9.974550e-03	3.885063e-02
2.306453962194502e-04	0.000000e+00	9.926148e-03	-1.015856e-02	3.957864e-02
2.459780565339465e-04	0.000000e+00	9.996807e-03	-1.023357e-02	3.987090e-02
2.635048491864648e-04	0.000000e+00	9.964021e-03	-1.019469e-02	3.970644e-02
2.869800172761289e-04	0.000000e+00	9.731274e-03	-9.927742e-03	3.862689e-02
3.250067420085914e-04	0.000000e+00	8.909873e-03	-9.011359e-03	3.494352e-02
3.854095663603270e-04	0.000000e+00	6.593794e-03	-6.684266e-03	2.561142e-02
4.435493789145434e-04	0.000000e+00	3.472994e-03	-3.699355e-03	1.365632e-02
4.946444728315871e-04	0.000000e+00	3.364342e-04	-6.640274e-04	1.509497e-03
5.459068830545214e-04	0.000000e+00	-2.844584e-03	2.444159e-03	-1.092051e-02
5.936893316542317e-04	0.000000e+00	-5.552533e-03	5.074748e-03	-2.143295e-02
6.507695610830674e-04	0.000000e+00	-8.118496e-03	7.654689e-03	-3.173347e-02
6.861049381973210e-04	0.000000e+00	-9.204897e-03	8.842316e-03	-3.646890e-02
7.072700952735781e-04	0.000000e+00	-9.641753e-03	9.323136e-03	-3.838218e-02
7.230261398071225e-04	0.000000e+00	-9.856723e-03	9.549124e-03	-3.927833e-02
7.408772067118656e-04	0.000000e+00	-9.983577e-03	9.674763e-03	-3.977185e-02
7.616060884429572e-04	0.000000e+00	-9.973423e-03	9.664821e-03	-3.972154e-02
7.838919474231011e-04	0.000000e+00	-9.774119e-03	9.443737e-03	-3.882598e-02
8.200263053978225e-04	0.000000e+00	-9.047567e-03	8.628690e-03	-3.554866e-02
8.776191891070464e-04	0.000000e+00	-6.953748e-03	6.499559e-03	-2.700888e-02
9.384567277734262e-04	0.000000e+00	-3.771228e-03	3.446855e-03	-1.478096e-02
9.901461481436750e-04	0.000000e+00	-6.187403e-04	4.051698e-04	-2.607836e-03
1.041988207608694e-03	0.000000e+00	2.607700e-03	-2.745570e-03	9.993050e-03
1.089755863362718e-03	0.000000e+00	5.345310e-03	-5.404572e-03	2.061970e-02
1.147148581289176e-03	0.000000e+00	7.983570e-03	-8.043577e-03	3.115684e-02
1.184760609112639e-03	0.000000e+00	9.171562e-03	-9.336785e-03	3.631379e-02
1.206282073371523e-03	0.000000e+00	9.625100e-03	-9.838483e-03	3.831046e-02
1.222283142663139e-03	0.000000e+00	9.848742e-03	-1.007406e-02	3.924484e-02
1.239975338959691e-03	0.000000e+00	9.980170e-03	-1.020370e-02	3.975447e-02
1.261269855249975e-03	0.000000e+00	9.974940e-03	-1.019877e-02	3.972392e-02
1.283344998055922e-03	0.000000e+00	9.781323e-03	-9.985466e-03	3.885957e-02
1.319143336083449e-03	0.000000e+00	9.071058e-03	-9.187891e-03	3.565227e-02
1.376233620575406e-03	0.000000e+00	7.016048e-03	-7.092705e-03	2.724837e-02
1.437758512847607e-03	0.000000e+00	3.811823e-03	-4.017532e-03	1.493023e-02
1.489537667751684e-03	0.000000e+00	6.568943e-04	-9.756345e-04	2.756132e-03
1.541490971854181e-03	0.000000e+00	-2.577526e-03	2.182686e-03	-9.875166e-03
1.589216801204329e-03	0.000000e+00	-5.316654e-03	4.843500e-03	-2.050914e-02
1.646532108870993e-03	0.000000e+00	-7.960184e-03	7.481563e-03	-3.104260e-02
1.685399272798068e-03	0.000000e+00	-9.187480e-03	8.817734e-03	-3.637087e-02
1.706751252589863e-03	0.000000e+00	-9.633053e-03	9.313705e-03	-3.834472e-02
1.722635887311170e-03	0.000000e+00	-9.852557e-03	9.544703e-03	-3.926085e-02
1.740403375539015e-03	0.000000e+00	-9.981827e-03	9.672464e-03	-3.976288e-02
1.761429459392063e-03	0.000000e+00	-9.974225e-03	9.665117e-03	-3.972281e-02
1.783604629554194e-03	0.000000e+00	-9.777918e-03	9.448133e-03	-3.884371e-02
1.819562503822251e-03	0.000000e+00	-9.059940e-03	8.642280e-03	-3.560323e-02
1.876891547272845e-03	0.000000e+00	-6.986531e-03	6.531177e-03	-2.713560e-02
1.938036767693710e-03	0.000000e+00	-3.795654e-03	3.469537e-03	-1.487178e-02
1.989798156566774e-03	0.000000e+00	-6.405619e-04	4.263592e-04	-2.692611e-03
2.041723198819923e-03	0.000000e+00	2.591621e-03	-2.729890e-03	9.930362e-03
2.089439310686432e-03	0.000000e+00	5.328490e-03	-5.388252e-03	2.055450e-02
2.146833723633793e-03	0.000000e+00	7.971641e-03	-8.030480e-03	3.110457e-02
2.184734178709855e-03	0.000000e+00	9.170900e-03	-9.335570e-03	3.630893e-02
2.206262665141884e-03	0.000000e+00	9.624768e-03	-9.838124e-03	3.830904e-02
2.222268554057270e-03	0.000000e+00	9.848583e-03	-1.007389e-02	3.924417e-02
2.239957641706144e-03	0.000000e+00	9.980100e-03	-1.020361e-02	3.975412e-02
2.261263255419700e-03	0.000000e+00	9.974970e-03	-1.019878e-02	3.972397e-02
2.283334261815868e-03	0.000000e+00	9.781464e-03	-9.985629e-03	3.886023e-02
2.319126001531758e-03	0.000000e+00	9.071516e-03	-9.188395e-03	3.565429e-02
2.376206405923188e-03	0.000000e+00	7.017266e-03	-7.093972e-03	2.725344e-02
2.437715538816542e-03	0.000000e+00	3.814319e-03	-4.019938e-03	1.493986e-02
2.489520656707208e-03	0.000000e+00	6.579609e-04	-9.766546e-04	2.760216e-03
2.541503965304723e-03	0.000000e+00	-2.578315e-03	2.183445e-03	-9.878197e-03
2.589226009169018e-03	0.000000e+00	-5.317144e-03	4.843914e-03	-2.051080e-02
2.646566238240840e-03	0.000000e+00	-7.961483e-03	7.482902e-03	-3.104794e-02
2.685406237243055e-03	0.000000e+00	-9.187654e-03	8.817965e-03	-3.637179e-02
2.706756370957545e-03	0.000000e+00	-9.633140e-03	9.313799e-03	-3.834509e-02
2.722639736275422e-03	0.000000e+00	-9.852599e-03	9.544747e-03	-3.926102e-02
2.740408047384040e-03	0.000000e+00	-9.981845e-03	9.672487e-03	-3.976298e-02
2.761431201162309e-03	0.000000e+00	-9.974217e-03	9.665113e-03	-3.972280e-02
2.783607462889779e-03	0.000000e+00	-9.777880e-03	9.448091e-03	-3.884353e-02
2.819567077855853e-03	0.000000e+00	-9.059818e-03	8.642145e-03	-3.560269e-02
2.876898725070614e-03	0.000000e+00	-6.986208e-03	6.530902e-03	-2.713450e-02
2.938029911096773e-03	0.000000e+00	-3.796052e-03	3.469917e-03	-1.487330e-02
2.989814762607875e-03	0.000000e+00	-6.395206e-04	4.253303e-04	-2.688496e-03
3.041765493294015e-03	0.000000e+00	2.594188e-03	-2.732357e-03	9.940225e-03
3.089495698849890e-03	0.000000e+00	5.331487e-03	-5.391103e-03	2.056589e-02
3.146904916224361e-03	0.000000e+00	7.974341e-03	-8.033306e-03	3.111585e-02
3.184761682562269e-03	0.000000e+00	9.171589e-03	-9.336369e-03	3.631211e-02
3.206282861635099e-03	0.000000e+00	9.625113e-03	-9.838497e-03	3.831052e-02
3.222283735183417e-03	0.000000e+00	9.848748e-03	-1.007406e-02	3.924487e-02
3.239976057747373e-03	0.000000e+00	9.980173e-03	-1.020371e-02	3.975449e-02
3.261270123305555e-03	0.000000e+00	9.974939e-03	-1.019877e-02	3.972392e-02
3.283345434113706e-03	0.000000e+00	9.781318e-03	-9.985460e-03	3.885955e-02
3.319144040132975e-03	0.000000e+00	9.071039e-03	-9.187871e-03	3.565219e-02
3.376234725898488e-03	0.000000e+00	7.015998e-03	-7.092771e-03	2.724863e-02
3.437725225531189e-03	0.000000e+00	3.813756e-03	-4.019402e-03	1.493771e-02
3.489553008427684e-03	0.000000e+00	6.559326e-04	-9.746652e-04	2.752258e-03
3.541559712697657e-03	0.000000e+00	-2.581699e-03	2.186702e-03	-9.891218e-03
3.589302186751895e-03	0.000000e+00	-5.321197e-03	4.847924e-03	-2.052682e-02
3.646609128470979e-03	0.000000e+00	-7.963113e-03	7.484865e-03	-3.105578e-02
3.685390487444038e-03	0.000000e+00	-9.187263e-03	8.817662e-03	-3.637059e-02
3.706744796049126e-03	0.000000e+00	-9.632945e-03	9.313587e-03	-3.834425e-02
3.722631032078067e-03	0.000000e+00	-9.852505e-03	9.544648e-03	-3.926063e-02
3.740397482333075e-03	0.000000e+00	-9.981805e-03	9.672435e-03	-3.976278e-02
3.761427262263239e-03	0.000000e+00	-9.974235e-03	9.665119e-03	-3.972283e-02
