time	V(v1)	V(v2)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	0.000000e+00	-2.666963e-04	-1.092112e-08
2.022996779438075e-07	1.271090e-05	0.000000e+00	-2.576751e-04	-9.721977e-07
4.045993558876149e-07	2.542173e-05	0.000000e+00	-2.441587e-04	-7.768991e-06
6.068990338314224e-07	3.813250e-05	0.000000e+00	-2.261470e-04	-2.040130e-05
8.091987117752299e-07	5.084319e-05	0.000000e+00	-2.036400e-04	-3.886913e-05
1.011498389719037e-06	6.355382e-05	0.000000e+00	-1.766378e-04	-6.317248e-05
1.213798067662845e-06	7.626438e-05	0.000000e+00	-1.451403e-04	-9.331134e-05
1.416097745606652e-06	8.897487e-05	0.000000e+00	-1.091475e-04	-1.292857e-04
2.687993490884427e-06	1.688836e-04	0.000000e+00	1.130393e-04	-4.042572e-04
7.415330329670600e-06	4.661602e-04	0.000000e+00	1.003177e-03	-1.587936e-03
1.214266716845677e-05	7.624547e-04	0.000000e+00	1.888914e-03	-2.766675e-03
1.687000400724295e-05	1.057767e-03	0.000000e+00	2.770248e-03	-3.940475e-03
2.159734084602912e-05	1.352097e-03	0.000000e+00	3.647181e-03	-5.109335e-03
2.632467768481530e-05	1.645445e-03	0.000000e+00	4.519711e-03	-6.273255e-03
3.105201452360146e-05	1.937811e-03	0.000000e+00	5.387841e-03	-7.432235e-03
3.577935136238763e-05	2.229195e-03	0.000000e+00	6.251568e-03	-8.586276e-03
6.869850905425343e-05	4.183659e-03	0.000000e+00	1.189013e-02	-1.611205e-02
1.291752854666968e-04	7.254116e-03	0.000000e+00	2.075255e-02	-2.795198e-02
1.808125895917591e-04	9.069892e-03	0.000000e+00	2.658270e-02	-3.575275e-02
2.033903843580448e-04	9.574231e-03	0.000000e+00	2.830825e-02	-3.806729e-02
2.201123658256834e-04	9.824193e-03	0.000000e+00	2.909411e-02	-3.912598e-02
2.373466871430709e-04	9.968413e-03	0.000000e+00	2.950791e-02	-3.968921e-02
2.602886254186568e-04	9.979112e-03	0.000000e+00	2.953023e-02	-3.973439e-02
2.817486577960626e-04	9.801692e-03	0.000000e+00	2.894577e-02	-3.896941e-02
3.165648893938884e-04	9.138053e-03	0.000000e+00	2.668700e-02	-3.597970e-02
3.721801254847014e-04	7.195235e-03	0.000000e+00	2.067426e-02	-2.799291e-02
4.356326874256522e-04	3.934964e-03	0.000000e+00	1.125281e-02	-1.545533e-02
4.877545038259813e-04	7.686483e-04	0.000000e+00	2.106530e-03	-3.269373e-03
5.405311868979835e-04	-2.519212e-03	0.000000e+00	-7.519318e-03	9.567450e-03
5.883457461093506e-04	-5.270221e-03	0.000000e+00	-1.553184e-02	2.026290e-02
6.453091815951329e-04	-7.913441e-03	0.000000e+00	-2.342370e-02	3.080988e-02
6.843286233081794e-04	-9.160711e-03	0.000000e+00	-2.746876e-02	3.622499e-02
7.059649424238887e-04	-9.619676e-03	0.000000e+00	-2.898782e-02	3.826381e-02
7.220447960271625e-04	-9.846136e-03	0.000000e+00	-2.969597e-02	3.921851e-02
7.396862560534092e-04	-9.979011e-03	0.000000e+00	-3.007981e-02	3.974211e-02
7.611620378207840e-04	-9.975417e-03	0.000000e+00	-3.005915e-02	3.972898e-02
7.831696050869391e-04	-9.783610e-03	0.000000e+00	-2.941559e-02	3.888557e-02
8.188601377262564e-04	-9.078532e-03	0.000000e+00	-2.702269e-02	3.571745e-02
8.757889463878268e-04	-7.035929e-03	0.000000e+00	-2.074550e-02	2.737841e-02
9.376521463219010e-04	-3.818001e-03	0.000000e+00	-1.146098e-02	1.502227e-02
9.895572224193530e-04	-6.556684e-04	0.000000e+00	-2.310397e-03	2.830122e-03
1.041662789745086e-03	2.587955e-03	0.000000e+00	7.188812e-03	-9.838145e-03
1.089429029531410e-03	5.327943e-03	0.000000e+00	1.516833e-02	-2.048980e-02
1.146340887498205e-03	7.952907e-03	0.000000e+00	2.301682e-02	-3.097911e-02
1.184645145526042e-03	9.168669e-03	0.000000e+00	2.696407e-02	-3.626347e-02
1.206197291614173e-03	9.623653e-03	0.000000e+00	2.846723e-02	-3.828106e-02
1.222219416512600e-03	9.848047e-03	0.000000e+00	2.916856e-02	-3.922662e-02
1.239898036641579e-03	9.979863e-03	0.000000e+00	2.954960e-02	-3.974652e-02
1.261241026350539e-03	9.975067e-03	0.000000e+00	2.952533e-02	-3.972849e-02
1.283298100702196e-03	9.781936e-03	0.000000e+00	2.887633e-02	-3.887784e-02
1.319067615713119e-03	9.073059e-03	0.000000e+00	2.647115e-02	-3.569340e-02
1.376114738516859e-03	7.021368e-03	0.000000e+00	2.017589e-02	-2.733031e-02
1.437233701820706e-03	3.842287e-03	0.000000e+00	1.100367e-02	-1.512365e-02
1.489183056516879e-03	6.791255e-04	0.000000e+00	1.845381e-03	-2.921289e-03
1.541315239879717e-03	-2.566856e-03	0.000000e+00	-7.659952e-03	9.755067e-03
1.589155536603186e-03	-5.313393e-03	0.000000e+00	-1.565638e-02	2.042923e-02
1.646309137983034e-03	-7.951697e-03	0.000000e+00	-2.354503e-02	3.097217e-02
1.684595184612721e-03	-9.167415e-03	0.000000e+00	-2.749366e-02	3.625835e-02
1.706160610570305e-03	-9.623026e-03	0.000000e+00	-2.899861e-02	3.827832e-02
1.722191846717878e-03	-9.847746e-03	0.000000e+00	-2.970101e-02	3.922532e-02
1.739864595870029e-03	-9.979730e-03	0.000000e+00	-3.008249e-02	3.974581e-02
1.761228554584424e-03	-9.975123e-03	0.000000e+00	-3.005879e-02	3.972855e-02
1.783277812210159e-03	-9.782201e-03	0.000000e+00	-2.941065e-02	3.887904e-02
1.819034857396856e-03	-9.073924e-03	0.000000e+00	-2.700741e-02	3.569718e-02
1.876063304544375e-03	-7.023669e-03	0.000000e+00	-2.070977e-02	2.733091e-02
1.937823960911100e-03	-3.808021e-03	0.000000e+00	-1.143272e-02	1.498464e-02
