time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-1.308061e-02	-2.335467e-06
3.453643381974223e-07	1.085002e-03	-1.294433e-02	-2.291757e-06
6.907286763948447e-07	2.169987e-03	-1.260827e-02	-2.212372e-06
1.036093014592267e-06	3.254956e-03	-1.207242e-02	-2.097311e-06
1.381457352789689e-06	4.339908e-03	-1.133679e-02	-1.946575e-06
1.726821690987112e-06	5.424844e-03	-1.040137e-02	-1.760162e-06
2.072186029184534e-06	6.509764e-03	-9.266161e-03	-1.538075e-06
2.417550367381956e-06	7.594666e-03	-7.931169e-03	-1.280311e-06
4.223645441508258e-06	1.326742e-02	8.208452e-04	3.838417e-07
5.989303527419007e-06	1.881151e-02	1.269332e-02	2.602921e-06
8.240449480742281e-06	2.587657e-02	3.230862e-02	6.231794e-06
1.128206912852523e-05	3.541399e-02	6.473513e-02	1.219250e-05
1.553389287636061e-05	4.872372e-02	1.181121e-01	2.196165e-05
2.115248987857816e-05	6.625704e-02	1.978818e-01	3.651909e-05
2.807666987844889e-05	8.774867e-02	3.046574e-01	5.596951e-05
3.620380466632412e-05	1.127592e-01	4.359739e-01	7.986477e-05
5.573505466632413e-05	1.715399e-01	7.574095e-01	1.383124e-04
7.526630466632412e-05	2.277404e-01	1.071585e+00	1.954178e-04
9.479755466632411e-05	2.805154e-01	1.370051e+00	2.496569e-04
1.143288046663241e-04	3.290713e-01	1.647812e+00	3.001232e-04
1.338600546663241e-04	3.726776e-01	1.900629e+00	3.460470e-04
1.533913046663241e-04	4.106785e-01	2.124692e+00	3.867364e-04
1.729225546663242e-04	4.425024e-01	2.316633e+00	4.215792e-04
1.924538046663242e-04	4.676707e-01	2.473561e+00	4.500510e-04
2.119850546663242e-04	4.858048e-01	2.593113e+00	4.717232e-04
2.315163046663242e-04	4.966319e-01	2.673487e+00	4.862689e-04
2.510475546663242e-04	4.999892e-01	2.713468e+00	4.934681e-04
2.705788046663242e-04	4.958262e-01	2.712447e+00	4.932116e-04
2.901100546663243e-04	4.842055e-01	2.670432e+00	4.855016e-04
3.096413046663243e-04	4.653019e-01	2.588049e+00	4.704531e-04
3.291725546663243e-04	4.393997e-01	2.466528e+00	4.482909e-04
3.487038046663243e-04	4.068886e-01	2.307693e+00	4.193474e-04
3.682350546663243e-04	3.682575e-01	2.113925e+00	3.840569e-04
3.877663046663243e-04	3.240874e-01	1.888137e+00	3.429495e-04
4.072975546663244e-04	2.750428e-01	1.633721e+00	2.966432e-04
4.268288046663244e-04	2.218612e-01	1.354505e+00	2.458343e-04
4.463600546663244e-04	1.653427e-01	1.054688e+00	1.912873e-04
4.658913046663244e-04	1.063372e-01	7.387838e-01	1.338231e-04
4.854225546663244e-04	4.573239e-02	4.115485e-01	7.430705e-05
5.049538046663244e-04	-1.556032e-02	7.790977e-02	1.363523e-05
5.244850546663244e-04	-7.661899e-02	-2.571070e-01	-4.727850e-05
5.440163046663244e-04	-1.365252e-01	-5.884551e-01	-1.075166e-04
5.635475546663244e-04	-1.943780e-01	-9.111433e-01	-1.661716e-04
5.830788046663245e-04	-2.493072e-01	-1.220310e+00	-2.223599e-04
6.026100546663245e-04	-3.004865e-01	-1.511300e+00	-2.752354e-04
6.221413046663245e-04	-3.471463e-01	-1.779729e+00	-3.240016e-04
6.416725546663245e-04	-3.885846e-01	-2.021557e+00	-3.679244e-04
6.612038046663245e-04	-4.241783e-01	-2.233144e+00	-4.063428e-04
6.807350546663245e-04	-4.533919e-01	-2.411308e+00	-4.386790e-04
7.002663046663246e-04	-4.757861e-01	-2.553370e+00	-4.644468e-04
7.197975546663246e-04	-4.910240e-01	-2.657199e+00	-4.832595e-04
7.393288046663246e-04	-4.988765e-01	-2.721237e+00	-4.948349e-04
7.588600546663246e-04	-4.992254e-01	-2.744528e+00	-4.990003e-04
7.783913046663246e-04	-4.920655e-01	-2.726729e+00	-4.956942e-04
7.979225546663247e-04	-4.775045e-01	-2.668117e+00	-4.849680e-04
8.174538046663247e-04	-4.557613e-01	-2.569580e+00	-4.669842e-04
8.369850546663247e-04	-4.271631e-01	-2.432609e+00	-4.420148e-04
8.565163046663247e-04	-3.921400e-01	-2.259269e+00	-4.104364e-04
8.760475546663247e-04	-3.512187e-01	-2.052173e+00	-3.727250e-04
8.955788046663247e-04	-3.050147e-01	-1.814439e+00	-3.294482e-04
9.151100546663248e-04	-2.542230e-01	-1.549644e+00	-2.812572e-04
9.346413046663248e-04	-1.996076e-01	-1.261770e+00	-2.288768e-04
9.541725546663248e-04	-1.419899e-01	-9.551441e-01	-1.730942e-04
9.737038046663248e-04	-8.223658e-02	-6.343740e-01	-1.147479e-04
9.932350546663247e-04	-2.124630e-02	-3.042784e-01	-5.471412e-05
1.012766304666325e-03	4.006353e-02	3.018478e-02	6.105229e-06
1.032297554666325e-03	1.007708e-01	3.639925e-01	6.679678e-05
1.051828804666325e-03	1.599623e-01	6.921318e-01	1.264491e-04
1.071360054666325e-03	2.167479e-01	1.009675e+00	1.841662e-04
1.090891304666325e-03	2.702734e-01	1.311852e+00	2.390814e-04
1.110422554666325e-03	3.197337e-01	1.594124e+00	2.903695e-04
1.129953804666325e-03	3.643849e-01	1.852249e+00	3.372599e-04
1.149485054666325e-03	4.035555e-01	2.082348e+00	3.790478e-04
1.169016304666325e-03	4.366562e-01	2.280961e+00	4.151048e-04
1.188547554666325e-03	4.631892e-01	2.445097e+00	4.448884e-04
1.208078804666325e-03	4.827553e-01	2.572288e+00	4.679500e-04
1.227610054666325e-03	4.950604e-01	2.660614e+00	4.839420e-04
1.247141304666325e-03	4.999194e-01	2.708741e+00	4.926228e-04
1.266672554666325e-03	4.972590e-01	2.715940e+00	4.938608e-04
1.286203804666325e-03	4.871194e-01	2.682093e+00	4.876360e-04
1.305735054666325e-03	4.696531e-01	2.607704e+00	4.740406e-04
1.325266304666325e-03	4.451228e-01	2.493884e+00	4.532780e-04
1.344797554666325e-03	4.138974e-01	2.342339e+00	4.256592e-04
1.364328804666325e-03	3.764467e-01	2.155341e+00	3.915986e-04
1.383860054666325e-03	3.333338e-01	1.935700e+00	3.516079e-04
1.403391304666325e-03	2.852072e-01	1.686717e+00	3.062880e-04
1.422922554666325e-03	2.327909e-01	1.412135e+00	2.563205e-04
1.442453804666325e-03	1.768732e-01	1.116087e+00	2.024570e-04
1.461985054666325e-03	1.182951e-01	8.030263e-01	1.455083e-04
1.481516304666325e-03	5.793779e-02	4.776674e-01	8.633174e-05
1.501047554666325e-03	-3.290966e-03	1.449094e-01	2.581833e-05
1.510813179666325e-03	-3.394448e-02	-2.268044e-02	-4.655291e-06
1.530344429666325e-03	-9.475332e-02	-3.571255e-01	-6.546247e-05
1.549875679666325e-03	-1.541370e-01	-6.863953e-01	-1.253201e-04
1.569406929666325e-03	-2.112023e-01	-1.005530e+00	-1.833264e-04
1.588938179666325e-03	-2.650909e-01	-1.309721e+00	-2.386077e-04
1.608469429666325e-03	-3.149924e-01	-1.594388e+00	-2.903314e-04
1.628000679666325e-03	-3.601560e-01	-1.855244e+00	-3.377185e-04
1.647531929666325e-03	-3.999026e-01	-2.088362e+00	-3.800559e-04
1.667063179666325e-03	-4.336342e-01	-2.290234e+00	-4.167063e-04
1.686594429666325e-03	-4.608436e-01	-2.457825e+00	-4.471186e-04
1.706125679666325e-03	-4.811215e-01	-2.588616e+00	-4.708358e-04
1.725656929666325e-03	-4.941628e-01	-2.680644e+00	-4.875020e-04
1.745188179666325e-03	-4.997715e-01	-2.732530e+00	-4.968675e-04
1.764719429666325e-03	-4.978632e-01	-2.743502e+00	-4.987928e-04
1.784250679666325e-03	-4.884665e-01	-2.713403e+00	-4.932502e-04
1.803781929666325e-03	-4.717228e-01	-2.642692e+00	-4.803246e-04
1.823313179666325e-03	-4.478840e-01	-2.532441e+00	-4.602117e-04
1.842844429666325e-03	-4.173086e-01	-2.384317e+00	-4.332154e-04
1.862375679666325e-03	-3.804565e-01	-2.200552e+00	-3.997429e-04
1.881906929666326e-03	-3.378820e-01	-1.983916e+00	-3.602982e-04
1.901438179666326e-03	-2.902254e-01	-1.737668e+00	-3.154752e-04
1.920969429666326e-03	-2.382035e-01	-1.465514e+00	-2.659482e-04
1.940500679666326e-03	-1.825989e-01	-1.171546e+00	-2.124620e-04
1.960031929666325e-03	-1.242478e-01	-8.601824e-01	-1.558203e-04
1.979563179666325e-03	-6.402787e-02	-5.361009e-01	-9.687424e-05
1.999094429666325e-03	-2.844918e-03	-2.041701e-01	-3.650935e-05
2.018625679666324e-03	5.838082e-02	1.306249e-01	2.436774e-05
2.038156929666324e-03	1.187285e-01	4.632560e-01	8.484278e-05
2.057688179666323e-03	1.772903e-01	7.887280e-01	1.440075e-04
2.077219429666323e-03	2.331856e-01	1.102153e+00	2.009735e-04
2.096750679666322e-03	2.855735e-01	1.398823e+00	2.548849e-04
2.116281929666322e-03	3.336661e-01	1.674281e+00	3.049318e-04
2.135813179666322e-03	3.767401e-01	1.924388e+00	3.503622e-04
