time	V(vin)	V(vo)	I(Rl)
0.000000000000000e+00	0.000000e+00	-2.582980e-02	-2.326830e-06
2.798339092727596e-07	1.758256e-03	-2.567960e-02	-2.297458e-06
5.596678185455191e-07	3.516495e-03	-2.522711e-02	-2.240853e-06
8.395017278182787e-07	5.274717e-03	-2.447231e-02	-2.157015e-06
1.119335637091038e-06	7.032921e-03	-2.341522e-02	-2.045942e-06
1.399169546363798e-06	8.791107e-03	-2.205583e-02	-1.907635e-06
1.679003455636557e-06	1.054928e-02	-2.039414e-02	-1.742095e-06
1.958837364909316e-06	1.230743e-02	-1.843015e-02	-1.549321e-06
3.702080003409747e-06	2.325876e-02	-1.360833e-03	8.710749e-08
5.966874895242194e-06	3.748220e-02	3.287071e-02	3.299152e-06
8.979165671132279e-06	5.638784e-02	9.837913e-02	9.371090e-06
1.300748499514235e-05	8.163749e-02	2.164474e-01	2.023523e-05
1.862818341790209e-05	1.167773e-01	4.268978e-01	3.951103e-05
2.599310203926001e-05	1.625944e-01	7.621558e-01	7.012659e-05
3.575872703926001e-05	2.227932e-01	1.274243e+00	1.168021e-04
4.552435203926001e-05	2.821534e-01	1.835258e+00	1.678783e-04
5.528997703926001e-05	3.404516e-01	2.426409e+00	2.216598e-04
7.482122703926000e-05	4.529894e-01	3.638334e+00	3.318551e-04
9.435247703925999e-05	5.587137e-01	4.831892e+00	4.403344e-04
1.138837270392600e-04	6.560345e-01	5.966760e+00	5.434508e-04
1.334149770392600e-04	7.434880e-01	7.017490e+00	6.388983e-04
1.529462270392600e-04	8.197587e-01	7.958439e+00	7.243549e-04
1.627118520392600e-04	8.533349e-01	8.320883e+00	7.573128e-04
1.682953037753666e-04	8.710965e-01	8.419897e+00	7.663945e-04
1.886843978796431e-04	9.267018e-01	8.447457e+00	7.693751e-04
2.082156478796431e-04	9.657342e-01	8.453775e+00	7.702936e-04
2.277468978796431e-04	9.902411e-01	8.457129e+00	7.708163e-04
2.472781478796431e-04	9.998538e-01	8.458444e+00	7.710213e-04
2.668093978796431e-04	9.944277e-01	8.458018e+00	7.709341e-04
2.863406478796432e-04	9.740446e-01	8.455763e+00	7.705475e-04
3.058718978796432e-04	9.390110e-01	8.451132e+00	7.698150e-04
3.254031478796432e-04	8.898537e-01	8.442555e+00	7.685999e-04
3.449343978796432e-04	8.273122e-01	8.423860e+00	7.663526e-04
3.644656478796432e-04	7.523271e-01	8.333945e+00	7.575784e-04
3.726927210398638e-04	7.172831e-01	8.211257e+00	7.462108e-04
3.808808755810177e-04	6.805020e-01	8.005665e+00	7.273571e-04
3.906465005810177e-04	6.342888e-01	7.674477e+00	6.971034e-04
4.004121255810177e-04	5.856884e-01	7.275173e+00	6.606927e-04
4.101777505810177e-04	5.348835e-01	6.821183e+00	6.193354e-04
4.199433755810177e-04	4.820654e-01	6.324447e+00	5.741090e-04
4.297090005810177e-04	4.274330e-01	5.793179e+00	5.257553e-04
4.492402505810177e-04	3.135535e-01	4.649414e+00	4.216885e-04
4.687715005810178e-04	1.949578e-01	3.423878e+00	3.102124e-04
4.883027505810177e-04	7.342984e-02	2.141545e+00	1.935930e-04
5.078340005810177e-04	-4.920260e-02	8.243183e-01	7.382026e-05
5.175996255810177e-04	-1.103565e-01	1.591807e-01	1.334754e-05
5.371308755810178e-04	-2.311895e-01	-1.171227e+00	-1.075966e-04
5.566621255810178e-04	-3.485453e-01	-2.484785e+00	-2.269914e-04
5.761933755810178e-04	-4.606586e-01	-3.761400e+00	-3.430109e-04
5.957246255810178e-04	-5.658432e-01	-4.981584e+00	-4.538840e-04
6.152558755810178e-04	-6.625170e-01	-6.126727e+00	-5.579202e-04
6.347871255810179e-04	-7.492259e-01	-7.179391e+00	-6.535352e-04
6.543183755810179e-04	-8.246657e-01	-8.123574e+00	-7.392757e-04
6.738496255810179e-04	-8.877018e-01	-8.944965e+00	-8.138423e-04
6.836152505810179e-04	-9.142645e-01	-9.305659e+00	-8.465764e-04
6.933808755810179e-04	-9.373861e-01	-9.620771e+00	-8.751730e-04
7.031465005810179e-04	-9.569795e-01	-9.848948e+00	-8.959084e-04
7.097672782534918e-04	-9.682185e-01	-9.916693e+00	-9.021144e-04
7.320529549245964e-04	-9.936488e-01	-9.934932e+00	-9.039828e-04
7.515842049245964e-04	-9.999505e-01	-9.937305e+00	-9.042526e-04
7.711154549245964e-04	-9.912120e-01	-9.935316e+00	-9.039948e-04
7.906467049245964e-04	-9.675646e-01	-9.927793e+00	-9.031041e-04
8.101779549245965e-04	-9.293643e-01	-9.906391e+00	-9.008323e-04
8.297092049245965e-04	-8.771855e-01	-9.796015e+00	-8.904191e-04
8.391358930268747e-04	-8.472247e-01	-9.651133e+00	-8.770970e-04
8.488514989367451e-04	-8.132375e-01	-9.426120e+00	-8.565194e-04
8.586171239367451e-04	-7.760226e-01	-9.136189e+00	-8.300645e-04
8.683827489367451e-04	-7.358869e-01	-8.794233e+00	-7.988965e-04
8.879139989367451e-04	-6.474679e-01	-7.985212e+00	-7.252159e-04
9.074452489367451e-04	-5.493103e-01	-7.040718e+00	-6.392428e-04
9.269764989367451e-04	-4.428906e-01	-5.985685e+00	-5.432370e-04
9.465077489367452e-04	-3.298095e-01	-4.839844e+00	-4.389903e-04
9.660389989367452e-04	-2.117676e-01	-3.621759e+00	-3.281905e-04
9.855702489367452e-04	-9.054064e-02	-2.350128e+00	-2.125380e-04
1.005101498936745e-03	3.204817e-02	-1.044076e+00	-9.377227e-05
1.024632748936745e-03	1.541550e-01	2.769113e-01	2.633459e-05
