time	V(vin)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	-1.471202e-01	1.786869e-04
1.670174043229258e-08	-4.197605e-04	-1.471165e-01	1.819970e-04
3.340348086458517e-08	-8.395211e-04	-1.471320e-01	1.664523e-04
5.010522129687775e-08	-1.259282e-03	-1.471668e-01	1.320526e-04
6.680696172917034e-08	-1.679042e-03	-1.472209e-01	7.879805e-05
8.350870216146292e-08	-2.098803e-03	-1.472943e-01	6.688571e-06
1.002104425937555e-07	-2.518563e-03	-1.473869e-01	-8.427582e-05
1.169121830260480e-07	-2.938323e-03	-1.474988e-01	-1.940951e-04
1.573065147718692e-07	-3.953543e-03	-1.479165e-01	-5.955801e-04
2.038281145852194e-07	-5.122758e-03	-1.486339e-01	-1.264078e-03
2.678053447568661e-07	-6.730679e-03	-1.500328e-01	-2.502716e-03
3.528969592318737e-07	-8.869261e-03	-1.525735e-01	-4.574359e-03
4.674289965525523e-07	-1.174776e-02	-1.570575e-01	-7.830293e-03
5.963024099650690e-07	-1.498668e-02	-1.634235e-01	-1.180663e-02
7.424785676930039e-07	-1.866045e-02	-1.722066e-01	-1.643766e-02
8.839764215078288e-07	-2.221664e-02	-1.823558e-01	-2.088808e-02
1.072329389404081e-06	-2.695037e-02	-1.985188e-01	-2.668855e-02
1.343781055552860e-06	-3.377250e-02	-2.262830e-01	-3.480563e-02
1.634970547869026e-06	-4.109057e-02	-2.613525e-01	-4.306170e-02
1.911789263119171e-06	-4.804735e-02	-2.994513e-01	-5.010543e-02
2.132709916728585e-06	-5.359924e-02	-3.327894e-01	-5.462153e-02
2.317709305481232e-06	-5.824833e-02	-3.622256e-01	-5.689182e-02
2.524847503464255e-06	-6.345367e-02	-3.957283e-01	-5.704554e-02
2.725684750902704e-06	-6.850058e-02	-4.276779e-01	-5.429621e-02
2.915250381876786e-06	-7.326414e-02	-4.564030e-01	-4.861914e-02
3.122542852113841e-06	-7.847302e-02	-4.855007e-01	-3.929434e-02
3.331315862242295e-06	-8.371899e-02	-5.120478e-01	-2.752233e-02
3.559814270206101e-06	-8.946043e-02	-5.380673e-01	-1.314778e-02
3.767148322599404e-06	-9.466992e-02	-5.592113e-01	2.154132e-04
3.974752648673225e-06	-9.988604e-02	-5.782594e-01	1.312449e-02
4.216016330581583e-06	-1.059477e-01	-5.983095e-01	2.685663e-02
4.556161254336290e-06	-1.144932e-01	-6.241834e-01	4.399044e-02
4.865229658944348e-06	-1.222575e-01	-6.458508e-01	5.730448e-02
5.393568691748092e-06	-1.355292e-01	-6.803491e-01	7.646867e-02
6.011472114206041e-06	-1.510489e-01	-7.187318e-01	9.593299e-02
6.587169535577184e-06	-1.655064e-01	-7.532080e-01	1.123035e-01
7.903518017846990e-06	-1.985554e-01	-8.294328e-01	1.472949e-01
1.049883840069361e-05	-2.636733e-01	-9.743487e-01	2.140569e-01
1.670795521167564e-05	-4.191459e-01	-1.307868e+00	3.711480e-01
3.135639271167564e-05	-7.829837e-01	-2.066016e+00	7.367380e-01
4.112201771167565e-05	-1.024183e+00	-2.559841e+00	9.787791e-01
5.088764271167565e-05	-1.259382e+00	-3.040399e+00	1.214935e+00
6.065326771167565e-05	-1.488579e+00	-3.507689e+00	1.445207e+00
7.041889271167566e-05	-1.711775e+00	-3.961713e+00	1.669593e+00
8.018451771167567e-05	-1.928971e+00	-4.402469e+00	1.888095e+00
8.995014271167567e-05	-2.140165e+00	-4.829959e+00	2.100712e+00
9.971576771167566e-05	-2.345358e+00	-5.244181e+00	2.307445e+00
