time	V(vin)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	-1.471202e-01	1.786869e-04
5.516230808537256e-08	1.732976e-04	-1.471150e-01	1.907305e-04
1.103246161707451e-07	3.465950e-04	-1.470715e-01	2.325299e-04
1.654869242561177e-07	5.198924e-04	-1.469897e-01	3.040853e-04
2.206492323414902e-07	6.931898e-04	-1.468694e-01	4.053965e-04
2.758115404268628e-07	8.664870e-04	-1.467108e-01	5.364635e-04
3.309738485122353e-07	1.039784e-03	-1.465139e-01	6.972865e-04
3.861361565976078e-07	1.213081e-03	-1.462786e-01	8.878653e-04
5.224129247456596e-07	1.641206e-03	-1.455502e-01	1.387956e-03
8.675640112222170e-07	2.725519e-03	-1.428168e-01	2.748770e-03
1.090398455220311e-06	3.425561e-03	-1.403906e-01	3.615499e-03
1.447499028456712e-06	4.547390e-03	-1.352129e-01	4.982742e-03
2.161700174929513e-06	6.790973e-03	-1.212697e-01	7.696048e-03
2.945138668289511e-06	9.251898e-03	-9.950148e-02	1.067272e-02
4.512015655009507e-06	1.417302e-02	-3.287740e-02	1.668440e-02
7.645769628449499e-06	2.401066e-02	1.467452e-01	2.876267e-02
8.576999136904815e-06	2.693240e-02	2.113049e-01	3.212555e-02
9.239113987216576e-06	2.900923e-02	2.599659e-01	3.400747e-02
9.877735113294541e-06	3.101190e-02	3.015444e-01	3.509967e-02
1.039344391844549e-05	3.262876e-02	3.282140e-01	3.547715e-02
1.070579266804982e-05	3.360788e-02	3.399144e-01	3.559929e-02
1.105378837258651e-05	3.469859e-02	3.490477e-01	3.585640e-02
1.142402720743877e-05	3.585883e-02	3.559899e-01	3.637581e-02
1.184870978415097e-05	3.718944e-02	3.617685e-01	3.723568e-02
1.217998354645329e-05	3.822721e-02	3.652419e-01	3.806091e-02
1.257388369991102e-05	3.946094e-02	3.686699e-01	3.915933e-02
1.293790499213966e-05	4.060088e-02	3.714966e-01	4.023179e-02
1.349614417476989e-05	4.234859e-02	3.755033e-01	4.192688e-02
1.502178013259374e-05	4.712228e-02	3.855887e-01	4.664604e-02
1.794376610857976e-05	5.625265e-02	4.031287e-01	5.572477e-02
2.576155820317598e-05	8.057938e-02	4.442133e-01	7.996579e-02
3.552718320317597e-05	1.106873e-01	4.892927e-01	1.100259e-01
5.017562070317596e-05	1.550331e-01	5.492684e-01	1.543372e-01
6.203387963174740e-05	1.904288e-01	5.932918e-01	1.897223e-01
7.389213856031883e-05	2.243223e-01	6.348456e-01	2.236099e-01
8.575039748889028e-05	2.567136e-01	6.739299e-01	2.559999e-01
9.760865641746172e-05	2.876027e-01	7.105445e-01	2.868924e-01
1.094669153460332e-04	3.169897e-01	7.446896e-01	3.162873e-01
1.213251742746046e-04	3.448745e-01	7.763650e-01	3.441846e-01
1.331834332031760e-04	3.712571e-01	8.055708e-01	3.705843e-01
1.555048617746046e-04	4.154534e-01	8.545771e-01	4.148209e-01
1.778262903460332e-04	4.503210e-01	8.932542e-01	4.497344e-01
2.001477189174618e-04	4.758602e-01	9.216022e-01	4.753248e-01
2.224691474888904e-04	4.920708e-01	9.396211e-01	4.915921e-01
2.447905760603190e-04	4.989528e-01	9.473108e-01	4.985362e-01
2.671120046317476e-04	4.965062e-01	9.446715e-01	4.961573e-01
2.894334332031761e-04	4.847312e-01	9.317030e-01	4.844552e-01
3.054769599888905e-04	4.692615e-01	9.151151e-01	4.690373e-01
3.215204867746048e-04	4.496497e-01	8.936657e-01	4.494751e-01
3.375640135603190e-04	4.258956e-01	8.673549e-01	4.257685e-01
3.536075403460334e-04	3.979994e-01	8.361826e-01	3.979176e-01
3.696510671317477e-04	3.659610e-01	8.001488e-01	3.659223e-01
3.856945939174620e-04	3.297804e-01	7.592536e-01	3.297826e-01
4.017381207031762e-04	2.894576e-01	7.134969e-01	2.894985e-01
4.115037457031763e-04	2.636511e-01	6.843745e-01	2.637158e-01
4.212693707031763e-04	2.371103e-01	6.532001e-01	2.371932e-01
4.310349957031763e-04	2.098350e-01	6.199737e-01	2.099309e-01
