time	V(vin)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	-1.471202e-01	1.786869e-04
1.130125160769546e-08	3.550393e-04	-1.471216e-01	1.773816e-04
2.260250321539092e-08	7.100786e-04	-1.471142e-01	1.847929e-04
3.390375482308638e-08	1.065118e-03	-1.470980e-01	2.009206e-04
4.520500643078185e-08	1.420157e-03	-1.470730e-01	2.257649e-04
5.650625803847731e-08	1.775196e-03	-1.470392e-01	2.593256e-04
6.780750964617277e-08	2.130236e-03	-1.469966e-01	3.016028e-04
7.910876125386821e-08	2.485275e-03	-1.469452e-01	3.525965e-04
1.117047269995861e-07	3.509307e-03	-1.467019e-01	5.913782e-04
1.494619884209717e-07	4.695486e-03	-1.462445e-01	1.032640e-03
1.961354894805641e-07	6.161776e-03	-1.453959e-01	1.828138e-03
2.568882620968995e-07	8.070379e-03	-1.438180e-01	3.238318e-03
3.392859831993709e-07	1.065898e-02	-1.408558e-01	5.680891e-03
4.568957160436745e-07	1.435378e-02	-1.352684e-01	9.799344e-03
5.830167872614005e-07	1.831597e-02	-1.276889e-01	1.463685e-02
7.191635589029201e-07	2.259311e-02	-1.177045e-01	2.003820e-02
8.630211370650652e-07	2.711248e-02	-1.051323e-01	2.573961e-02
1.040123995711232e-06	3.267623e-02	-8.666746e-02	3.268500e-02
1.295323431965516e-06	4.069334e-02	-5.356984e-02	4.264479e-02
1.805722304474084e-06	5.672722e-02	2.922657e-02	6.264900e-02
2.278015551105051e-06	7.156353e-02	1.242582e-01	8.126729e-02
2.839062640898533e-06	8.918706e-02	2.570051e-01	1.032179e-01
3.096496743628763e-06	9.727318e-02	3.229740e-01	1.126855e-01
3.300926902300031e-06	1.036942e-01	3.746344e-01	1.188933e-01
3.533330906918401e-06	1.109937e-01	4.280843e-01	1.240704e-01
3.610980669383819e-06	1.134326e-01	4.435513e-01	1.251926e-01
3.670636216150836e-06	1.153062e-01	4.535906e-01	1.257069e-01
3.760091197124633e-06	1.181158e-01	4.665501e-01	1.262728e-01
3.854775485837172e-06	1.210895e-01	4.782414e-01	1.268192e-01
3.929155864609540e-06	1.234255e-01	4.859430e-01	1.273224e-01
4.008695984907146e-06	1.259236e-01	4.928413e-01	1.280611e-01
4.112505258083150e-06	1.291838e-01	5.004876e-01	1.293871e-01
4.215198503946977e-06	1.324089e-01	5.069477e-01	1.311388e-01
4.349641442161799e-06	1.366310e-01	5.142740e-01	1.340443e-01
4.508546698433915e-06	1.416212e-01	5.220441e-01	1.380998e-01
4.677812874211782e-06	1.469367e-01	5.297107e-01	1.429118e-01
4.870966200812930e-06	1.530020e-01	5.380502e-01	1.487332e-01
5.110464725842020e-06	1.605224e-01	5.480940e-01	1.561341e-01
5.773630117022706e-06	1.813442e-01	5.750272e-01	1.768256e-01
6.416505604428371e-06	2.015259e-01	6.002884e-01	1.969223e-01
7.702256579239699e-06	2.418791e-01	6.491339e-01	2.371500e-01
1.027375852886235e-05	3.225355e-01	7.432665e-01	3.176415e-01
1.335772713982737e-05	4.191529e-01	8.523151e-01	4.141329e-01
1.730553213928379e-05	5.425987e-01	9.877972e-01	5.374550e-01
2.218834463928379e-05	6.948115e-01	1.151585e+00	6.895626e-01
3.195396963928379e-05	9.971329e-01	1.470803e+00	9.917831e-01
4.241713928214094e-05	1.320112e+00	1.805259e+00	1.314713e+00
5.288030892499809e-05	1.634111e+00	2.129386e+00	1.628690e+00
6.334347856785525e-05	1.939130e+00	2.443184e+00	1.933712e+00
7.380664821071239e-05	2.235168e+00	2.746652e+00	2.229782e+00
8.426981785356954e-05	2.522227e+00	3.039790e+00	2.516897e+00
9.473298749642670e-05	2.800305e+00	3.322599e+00	2.795060e+00
1.051961571392838e-04	3.069402e+00	3.595078e+00	3.064268e+00
1.219372285678553e-04	3.474856e+00	4.006047e+00	3.469949e+00
1.386782999964267e-04	3.833516e+00	4.369538e+00	3.828881e+00
1.554193714249982e-04	4.145383e+00	4.685551e+00	4.141065e+00
1.721604428535696e-04	4.410456e+00	4.954086e+00	4.406499e+00
1.889015142821411e-04	4.628736e+00	5.175143e+00	4.625184e+00
2.056425857107125e-04	4.800223e+00	5.348722e+00	4.797121e+00
2.223836571392839e-04	4.924917e+00	5.474823e+00	4.922308e+00
2.433099964249982e-04	4.989271e+00	5.540661e+00	4.987333e+00
2.642363357107125e-04	4.972373e+00	5.524343e+00	4.971105e+00
2.851626749964269e-04	4.874223e+00	5.425870e+00	4.873623e+00
3.060890142821412e-04	4.694820e+00	5.245241e+00	4.694887e+00
3.270153535678554e-04	4.434164e+00	4.982455e+00	4.434898e+00
3.479416928535698e-04	4.092255e+00	4.637514e+00	4.093655e+00
3.688680321392840e-04	3.669095e+00	4.210417e+00	3.671159e+00
3.807262910678555e-04	3.401810e+00	3.940631e+00	3.404220e+00
3.925845499964269e-04	3.119803e+00	3.655108e+00	3.122538e+00
