time	V(v1)	V(v2)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00	-2.553512e-03
9.128108935209796e-08	5.735363e-05	5.735363e-05	-2.558280e-03
1.825621787041959e-07	1.147072e-04	1.147072e-04	-2.594004e-03
2.738432680562939e-07	1.720607e-04	1.720607e-04	-2.660684e-03
3.651243574083919e-07	2.294142e-04	2.294142e-04	-2.758320e-03
4.564054467604898e-07	2.867675e-04	2.867675e-04	-2.886913e-03
5.476865361125878e-07	3.441209e-04	3.441209e-04	-3.046462e-03
6.389676254646856e-07	4.014741e-04	4.014741e-04	-3.236967e-03
1.059598548519261e-06	6.657605e-04	6.657605e-04	-4.637226e-03
1.884409667131484e-06	1.183982e-03	1.183982e-03	-9.308880e-03
3.219673521788097e-06	2.022843e-03	2.022843e-03	-2.118747e-02
4.942354474306362e-06	3.104874e-03	3.104874e-03	-4.351848e-02
7.309845768258638e-06	4.591297e-03	4.591297e-03	-8.493807e-02
1.034114699741786e-05	6.492964e-03	6.492964e-03	-1.518786e-01
1.442306207071853e-05	9.049878e-03	9.049878e-03	-2.592843e-01
1.930587457071853e-05	1.210051e-02	1.210051e-02	-4.041626e-01
2.418868707071854e-05	1.513976e-02	1.513976e-02	-5.605531e-01
2.907149957071854e-05	1.816476e-02	1.816476e-02	-7.239570e-01
3.395431207071854e-05	2.117266e-02	2.117266e-02	-8.910627e-01
4.371993707071853e-05	2.712587e-02	2.712587e-02	-1.229180e+00
5.348556207071854e-05	3.302852e-02	3.302852e-02	-1.570142e+00
6.325118707071854e-05	3.875495e-02	3.875495e-02	-1.902422e+00
7.301681207071855e-05	4.430514e-02	4.430514e-02	-2.226020e+00
8.278243707071856e-05	4.967910e-02	4.967910e-02	-2.540935e+00
9.254806207071857e-05	5.487683e-02	5.487683e-02	-2.847169e+00
1.023136870707186e-04	5.989832e-02	5.989832e-02	-3.144720e+00
1.120793120707186e-04	6.474359e-02	6.474359e-02	-3.433589e+00
1.281228388564329e-04	7.221915e-02	7.221915e-02	-3.882648e+00
1.441663656421472e-04	7.882018e-02	7.882018e-02	-4.283575e+00
1.602098924278615e-04	8.454670e-02	8.454670e-02	-4.636370e+00
1.762534192135758e-04	8.939870e-02	8.939870e-02	-4.941034e+00
1.922969459992901e-04	9.337617e-02	9.337617e-02	-5.197567e+00
2.083404727850044e-04	9.647912e-02	9.647912e-02	-5.405968e+00
2.243839995707187e-04	9.870755e-02	9.870755e-02	-5.566237e+00
2.383348924278615e-04	9.971376e-02	9.971376e-02	-5.652933e+00
2.522857852850044e-04	9.996657e-02	9.996657e-02	-5.696389e+00
2.662366781421473e-04	9.946597e-02	9.946597e-02	-5.696606e+00
2.801875709992902e-04	9.821196e-02	9.821196e-02	-5.653584e+00
2.941384638564330e-04	9.620454e-02	9.620454e-02	-5.567322e+00
3.080893567135759e-04	9.344371e-02	9.344371e-02	-5.437822e+00
3.220402495707187e-04	8.992947e-02	8.992947e-02	-5.265083e+00
3.359911424278616e-04	8.564522e-02	8.564522e-02	-5.047293e+00
3.499420352850045e-04	8.080871e-02	8.080871e-02	-4.796341e+00
3.638929281421474e-04	7.541995e-02	7.541995e-02	-4.512228e+00
3.778438209992902e-04	6.947894e-02	6.947894e-02	-4.194954e+00
3.917947138564331e-04	6.298567e-02	6.298567e-02	-3.844519e+00
4.057456067135760e-04	5.594016e-02	5.594016e-02	-3.460923e+00
4.196964995707188e-04	4.834239e-02	4.834239e-02	-3.044165e+00
4.287645799278617e-04	4.323538e-02	4.323538e-02	-2.762295e+00
4.378326602850045e-04	3.803122e-02	3.803122e-02	-2.473871e+00
4.469007406421475e-04	3.272989e-02	3.272989e-02	-2.178893e+00
4.559688209992903e-04	2.733141e-02	2.733141e-02	-1.877361e+00
4.650369013564332e-04	2.183576e-02	2.183576e-02	-1.569274e+00
4.741049817135760e-04	1.624296e-02	1.624296e-02	-1.254634e+00
4.831730620707189e-04	1.055299e-02	1.055299e-02	-9.334390e-01
4.866607852850046e-04	8.368839e-03	8.368839e-03	-8.098451e-01
4.901485084992903e-04	6.183294e-03	6.183294e-03	-6.860123e-01
4.936362317135760e-04	3.996356e-03	3.996356e-03	-5.619405e-01
4.971239549278618e-04	1.808025e-03	1.808025e-03	-4.376297e-01
5.006116781421475e-04	-3.816988e-04	-3.816988e-04	-3.130799e-01
5.040994013564332e-04	-2.572816e-03	-2.572816e-03	-1.882912e-01
5.075871245707189e-04	-4.765326e-03	-4.765326e-03	-6.326343e-02
5.222355620707189e-04	-1.392561e-02	-1.392561e-02	4.608491e-01
5.299085531421475e-04	-1.870851e-02	-1.870851e-02	7.356540e-01
5.375815442135760e-04	-2.342103e-02	-2.342103e-02	1.007190e+00
