time	V(v1)	V(v2)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00	-2.553512e-03
3.601911286203241e-08	2.263148e-04	2.263148e-04	-2.550565e-03
7.203822572406482e-08	4.526296e-04	4.526296e-04	-2.582916e-03
1.080573385860972e-07	6.789443e-04	6.789443e-04	-2.650566e-03
1.440764514481296e-07	9.052589e-04	9.052589e-04	-2.753514e-03
1.800955643101620e-07	1.131574e-03	1.131574e-03	-2.891761e-03
2.161146771721945e-07	1.357888e-03	1.357888e-03	-3.065307e-03
2.521337900342268e-07	1.584203e-03	1.584203e-03	-3.274152e-03
3.529230068306657e-07	2.217479e-03	2.217479e-03	-4.158936e-03
4.779812230254380e-07	3.003240e-03	3.003240e-03	-5.863719e-03
7.000151620555941e-07	4.398311e-03	4.398311e-03	-1.061588e-02
1.101140639121058e-06	6.918616e-03	6.918616e-03	-2.466358e-02
1.903391593251987e-06	1.195908e-02	1.195908e-02	-6.976262e-02
3.050992612101133e-06	1.916878e-02	1.916878e-02	-1.681732e-01
4.669705661087939e-06	2.933642e-02	2.933642e-02	-3.663333e-01
6.776502464576102e-06	4.256516e-02	4.256516e-02	-7.098933e-01
9.607670921462987e-06	6.033012e-02	6.033012e-02	-1.289587e+00
1.330861078253520e-05	8.352305e-02	8.352305e-02	-2.192466e+00
1.810792355887311e-05	1.135301e-01	1.135301e-01	-3.521024e+00
2.299073605887311e-05	1.439532e-01	1.439532e-01	-4.992826e+00
2.787354855887311e-05	1.742408e-01	1.742408e-01	-6.547557e+00
3.275636105887311e-05	2.043643e-01	2.043643e-01	-8.154026e+00
3.763917355887311e-05	2.342956e-01	2.342956e-01	-9.531194e+00
4.068581452346291e-05	2.528613e-01	2.528613e-01	-9.932843e+00
4.381424861759408e-05	2.718289e-01	2.718289e-01	-9.987366e+00
5.545600388235426e-05	3.414323e-01	3.414323e-01	-9.994761e+00
7.010444138235427e-05	4.263730e-01	4.263730e-01	-9.995295e+00
8.475287888235428e-05	5.077043e-01	5.077043e-01	-9.995317e+00
9.940131638235429e-05	5.847379e-01	5.847379e-01	-9.995318e+00
1.140497538823543e-04	6.568215e-01	6.568215e-01	-9.995318e+00
1.300932806680686e-04	7.306902e-01	7.306902e-01	-9.995319e+00
1.461368074537829e-04	7.957533e-01	7.957533e-01	-9.995319e+00
1.621803342394972e-04	8.520107e-01	8.520107e-01	-9.995319e+00
1.782238610252115e-04	8.994625e-01	8.994625e-01	-9.995319e+00
1.942673878109258e-04	9.381086e-01	9.381086e-01	-9.995319e+00
2.103109145966401e-04	9.679491e-01	9.679491e-01	-9.995319e+00
2.263544413823544e-04	9.889839e-01	9.889839e-01	-9.995319e+00
2.458856913823544e-04	9.986454e-01	9.986454e-01	-9.995319e+00
2.654169413823544e-04	9.940901e-01	9.940901e-01	-9.995319e+00
2.849481913823544e-04	9.753181e-01	9.753181e-01	-9.995319e+00
3.044794413823545e-04	9.423292e-01	9.423292e-01	-9.995319e+00
3.240106913823545e-04	8.951236e-01	8.951236e-01	-9.995319e+00
3.435419413823546e-04	8.337012e-01	8.337012e-01	-9.995319e+00
3.630731913823545e-04	7.580621e-01	7.580621e-01	-9.995319e+00
3.735363610252117e-04	7.130203e-01	7.130203e-01	-9.995325e+00
3.839995306680688e-04	6.654443e-01	6.654443e-01	-9.995327e+00
3.944627003109260e-04	6.153340e-01	6.153340e-01	-9.995326e+00
4.049258699537832e-04	5.626893e-01	5.626893e-01	-9.995320e+00
4.153890395966403e-04	5.075103e-01	5.075103e-01	-9.995310e+00
4.258522092394975e-04	4.497970e-01	4.497970e-01	-9.995297e+00
4.363153788823546e-04	3.895494e-01	3.895494e-01	-9.995279e+00
4.509638163823546e-04	3.032519e-01	3.032519e-01	-9.994335e+00
4.607294413823546e-04	2.442481e-01	2.442481e-01	-9.988531e+00
4.704950663823546e-04	1.843249e-01	1.843249e-01	-9.956489e+00
4.732809895407558e-04	1.670930e-01	1.670930e-01	-9.912396e+00
4.751650785168752e-04	1.554099e-01	1.554099e-01	-9.806427e+00
4.772011376764752e-04	1.427601e-01	1.427601e-01	-9.568346e+00
4.792470696896288e-04	1.300253e-01	1.300253e-01	-9.222939e+00
4.820045459076480e-04	1.128280e-01	1.128280e-01	-8.643513e+00
4.856972010738569e-04	8.974622e-02	8.974622e-02	-7.730688e+00
4.905800135738569e-04	5.915297e-02	5.915297e-02	-6.368426e+00
4.954628260738569e-04	2.850404e-02	2.850404e-02	-4.886700e+00
5.003456385738569e-04	-2.171709e-03	-2.171709e-03	-3.319707e+00
5.052284510738569e-04	-3.284542e-02	-3.284542e-02	-1.696876e+00
5.101112635738569e-04	-6.348822e-02	-6.348822e-02	-3.669690e-02
5.149940760738569e-04	-9.407125e-02	-9.407125e-02	1.648511e+00
5.296425135738569e-04	-1.851745e-01	-1.851745e-01	6.757611e+00
5.345253260738569e-04	-2.152316e-01	-2.152316e-01	8.103580e+00
5.378530524508388e-04	-2.356018e-01	-2.356018e-01	8.470417e+00
5.426656179126657e-04	-2.649389e-01	-2.649389e-01	8.481531e+00
5.474781833744927e-04	-2.939692e-01	-2.939692e-01	8.490127e+00
5.522907488363195e-04	-3.226928e-01	-3.226928e-01	8.496204e+00
5.571033142981465e-04	-3.511097e-01	-3.511097e-01	8.499764e+00
5.619158797599734e-04	-3.792199e-01	-3.792199e-01	8.500805e+00
5.667284452218004e-04	-4.070234e-01	-4.070234e-01	8.499328e+00
5.715410106836272e-04	-4.345202e-01	-4.345202e-01	8.495334e+00
5.861894481836272e-04	-5.154599e-01	-5.154599e-01	8.495352e+00
6.008378856836272e-04	-5.920362e-01	-5.920362e-01	8.495363e+00
6.154863231836273e-04	-6.647824e-01	-6.647824e-01	8.495374e+00
6.301347606836273e-04	-7.306780e-01	-7.306780e-01	8.495384e+00
6.447831981836273e-04	-7.897232e-01	-7.897232e-01	8.495393e+00
6.594316356836273e-04	-8.419178e-01	-8.419178e-01	8.495400e+00
6.740800731836273e-04	-8.872619e-01	-8.872619e-01	8.495407e+00
6.887285106836273e-04	-9.257555e-01	-9.257555e-01	8.495413e+00
7.033769481836273e-04	-9.573987e-01	-9.573987e-01	8.495418e+00
7.256983767550560e-04	-9.874550e-01	-9.874550e-01	8.495422e+00
7.480198053264846e-04	-9.986642e-01	-9.986642e-01	8.495425e+00
7.703412338979131e-04	-9.910265e-01	-9.910265e-01	8.495424e+00
7.926626624693417e-04	-9.645417e-01	-9.645417e-01	8.495420e+00
8.149840910407703e-04	-9.192099e-01	-9.192099e-01	8.495414e+00
8.373055196121990e-04	-8.550311e-01	-8.550311e-01	8.495405e+00
8.596269481836275e-04	-7.720052e-01	-7.720052e-01	8.495393e+00
8.707876624693418e-04	-7.248979e-01	-7.248979e-01	8.495389e+00
8.819483767550561e-04	-6.748842e-01	-6.748842e-01	8.495383e+00
8.931090910407704e-04	-6.219641e-01	-6.219641e-01	8.495375e+00
9.042698053264847e-04	-5.661377e-01	-5.661377e-01	8.495364e+00
9.154305196121989e-04	-5.074050e-01	-5.074050e-01	8.495351e+00
9.265912338979132e-04	-4.457659e-01	-4.457659e-01	8.495335e+00
9.377519481836275e-04	-3.812204e-01	-3.812204e-01	8.495317e+00
9.524003856836276e-04	-2.946385e-01	-2.946385e-01	8.494800e+00
9.621660106836276e-04	-2.354854e-01	-2.354854e-01	8.491306e+00
9.719316356836276e-04	-1.754460e-01	-1.754460e-01	8.472370e+00
9.756762032850072e-04	-1.522367e-01	-1.522367e-01	8.448294e+00
9.781078670677136e-04	-1.371190e-01	-1.371190e-01	8.389904e+00
9.798743291350833e-04	-1.261166e-01	-1.261166e-01	8.261563e+00
9.819115683872537e-04	-1.134084e-01	-1.134084e-01	7.988675e+00
9.843775005612776e-04	-9.800150e-02	-9.800150e-02	7.541532e+00
9.870010862423639e-04	-8.158381e-02	-8.158381e-02	6.956464e+00
9.918838987423638e-04	-5.097287e-02	-5.097287e-02	5.688212e+00
9.965505304210906e-04	-2.167196e-02	-2.167196e-02	4.340593e+00
1.001433342921091e-03	9.005837e-03	9.005837e-03	2.819750e+00
1.006316155421090e-03	3.967516e-02	3.967516e-02	1.228243e+00
1.011198967921090e-03	7.030714e-02	7.030714e-02	-4.106101e-01
1.016081780421090e-03	1.008729e-01	1.008729e-01	-2.080833e+00
1.025847405421090e-03	1.616911e-01	1.616911e-01	-5.474925e+00
1.030730217921090e-03	1.918862e-01	1.918862e-01	-7.185151e+00
1.035613030421090e-03	2.219006e-01	2.219006e-01	-8.783736e+00
1.039849788719149e-03	2.477756e-01	2.477756e-01	-9.897017e+00
1.040446502696049e-03	2.514062e-01	2.514062e-01	-9.966751e+00
1.044942463779328e-03	2.786950e-01	2.786950e-01	-9.979024e+00
1.049438424862606e-03	3.057088e-01	3.057088e-01	-9.988566e+00
1.053934385945885e-03	3.324477e-01	3.324477e-01	-9.995376e+00
1.058430347029164e-03	3.589116e-01	3.589116e-01	-9.999455e+00
1.062926308112443e-03	3.851006e-01	3.851006e-01	-1.000080e+01
1.067422269195721e-03	4.110146e-01	4.110146e-01	-9.999418e+00
1.071918230279000e-03	4.366536e-01	4.366536e-01	-9.995302e+00
1.086566667779000e-03	5.174895e-01	5.174895e-01	-9.995317e+00
1.101215105278999e-03	5.939447e-01	5.939447e-01	-9.995318e+00
1.115863542778999e-03	6.653721e-01	6.653721e-01	-9.995318e+00
1.131907069564713e-03	7.384144e-01	7.384144e-01	-9.995318e+00
1.147950596350427e-03	8.025966e-01	8.025966e-01	-9.995318e+00
1.163994123136141e-03	8.579187e-01	8.579187e-01	-9.995318e+00
1.180037649921855e-03	9.043808e-01	9.043808e-01	-9.995318e+00
1.196081176707569e-03	9.419828e-01	9.419828e-01	-9.995318e+00
1.212124703493283e-03	9.707247e-01	9.707247e-01	-9.995318e+00
1.228168230278997e-03	9.906065e-01	9.906065e-01	-9.995318e+00
1.247699480278996e-03	9.988244e-01	9.988244e-01	-9.995319e+00
1.267230730278996e-03	9.928732e-01	9.928732e-01	-9.995319e+00
1.286761980278995e-03	9.727529e-01	9.727529e-01	-9.995319e+00
1.306293230278995e-03	9.384634e-01	9.384634e-01	-9.995319e+00
1.325824480278994e-03	8.900049e-01	8.900049e-01	-9.995319e+00
1.345355730278994e-03	8.273772e-01	8.273772e-01	-9.995319e+00
1.364886980278994e-03	7.505805e-01	7.505805e-01	-9.995319e+00
1.375350149921851e-03	7.049853e-01	7.049853e-01	-9.995328e+00
1.385813319564707e-03	6.568955e-01	6.568955e-01	-9.995331e+00
1.396276489207564e-03	6.063111e-01	6.063111e-01	-9.995329e+00
1.406739658850421e-03	5.532322e-01	5.532322e-01	-9.995320e+00
1.417202828493278e-03	4.976588e-01	4.976588e-01	-9.995306e+00
1.427665998136135e-03	4.395908e-01	4.395908e-01	-9.995286e+00
1.438129167778992e-03	3.790282e-01	3.790282e-01	-9.995260e+00
1.452777605278992e-03	2.923727e-01	2.923727e-01	-9.993881e+00
1.462543230278992e-03	2.331812e-01	2.331812e-01	-9.985808e+00
1.471309672838182e-03	1.792919e-01	1.792919e-01	-9.949683e+00
1.473793021435514e-03	1.639202e-01	1.639202e-01	-9.893913e+00
1.475571768195635e-03	1.528852e-01	1.528852e-01	-9.769487e+00
1.477654124028828e-03	1.399424e-01	1.399424e-01	-9.492485e+00
1.480451657250400e-03	1.225173e-01	1.225173e-01	-8.983270e+00
1.482994459768508e-03	1.066458e-01	1.066458e-01	-8.413185e+00
1.487877272268508e-03	7.609572e-02	7.609572e-02	-7.136947e+00
1.492688908281381e-03	4.592079e-02	4.592079e-02	-5.742809e+00
1.497571720781381e-03	1.525674e-02	1.525674e-02	-4.218872e+00
1.502454533281380e-03	-1.542168e-02	-1.542168e-02	-2.624771e+00
1.507337345781380e-03	-4.608557e-02	-4.608557e-02	-9.838561e-01
1.512220158281380e-03	-7.670610e-02	-7.670610e-02	6.884836e-01
1.517102970781380e-03	-1.072544e-01	-1.072544e-01	2.381728e+00
1.526868595781380e-03	-1.680196e-01	-1.680196e-01	5.802612e+00
1.531751408281380e-03	-1.981793e-01	-1.981793e-01	7.393539e+00
1.535729597653077e-03	-2.226147e-01	-2.226147e-01	8.405544e+00
1.536298325492553e-03	-2.260970e-01	-2.260970e-01	8.468165e+00
1.541453375474415e-03	-2.576021e-01	-2.576021e-01	8.479953e+00
1.546608425456276e-03	-2.887571e-01	-2.887571e-01	8.489105e+00
1.551763475438137e-03	-3.195622e-01	-3.195622e-01	8.495621e+00
1.556918525419999e-03	-3.500173e-01	-3.500173e-01	8.499503e+00
1.562073575401861e-03	-3.801224e-01	-3.801224e-01	8.500749e+00
1.567228625383722e-03	-4.098775e-01	-4.098775e-01	8.499360e+00
1.572383675365584e-03	-4.392827e-01	-4.392827e-01	8.495336e+00
1.587032112865583e-03	-5.199897e-01	-5.199897e-01	8.495353e+00
1.601680550365583e-03	-5.962949e-01	-5.962949e-01	8.495364e+00
1.616328987865583e-03	-6.687257e-01	-6.687257e-01	8.495375e+00
1.630977425365582e-03	-7.342805e-01	-7.342805e-01	8.495384e+00
1.645625862865582e-03	-7.929593e-01	-7.929593e-01	8.495393e+00
1.660274300365582e-03	-8.447621e-01	-8.447621e-01	8.495400e+00
1.674922737865581e-03	-8.896888e-01	-8.896888e-01	8.495407e+00
1.689571175365581e-03	-9.277395e-01	-9.277395e-01	8.495413e+00
1.704219612865581e-03	-9.589142e-01	-9.589142e-01	8.495418e+00
1.725843496794152e-03	-9.877244e-01	-9.877244e-01	8.495422e+00
1.747467380722723e-03	-9.987872e-01	-9.987872e-01	8.495424e+00
1.769091264651294e-03	-9.921026e-01	-9.921026e-01	8.495424e+00
1.790715148579865e-03	-9.676706e-01	-9.676706e-01	8.495420e+00
1.812339032508436e-03	-9.254911e-01	-9.254911e-01	8.495415e+00
1.833962916437007e-03	-8.655642e-01	-8.655642e-01	8.495407e+00
1.855586800365578e-03	-7.878899e-01	-7.878899e-01	8.495396e+00
1.866747514651292e-03	-7.421446e-01	-7.421446e-01	8.495390e+00
1.877908228937006e-03	-6.933940e-01	-6.933940e-01	8.495383e+00
1.889068943222720e-03	-6.416383e-01	-6.416383e-01	8.495375e+00
1.900229657508434e-03	-5.868773e-01	-5.868773e-01	8.495366e+00
1.911390371794148e-03	-5.291111e-01	-5.291111e-01	8.495356e+00
1.922551086079862e-03	-4.683397e-01	-4.683397e-01	8.495344e+00
1.933711800365576e-03	-4.045631e-01	-4.045631e-01	8.495332e+00
1.948360237865576e-03	-3.187991e-01	-3.187991e-01	8.495113e+00
1.958125862865576e-03	-2.600780e-01	-2.600780e-01	8.493534e+00
1.967891487865575e-03	-2.003780e-01	-2.003780e-01	8.483755e+00
1.972774300365575e-03	-1.702310e-01	-1.702310e-01	8.468667e+00
1.976234455439082e-03	-1.487690e-01	-1.487690e-01	8.440903e+00
1.978500771490628e-03	-1.346732e-01	-1.346732e-01	8.370592e+00
1.980252703602369e-03	-1.237578e-01	-1.237578e-01	8.223221e+00
1.982168009571980e-03	-1.118074e-01	-1.118074e-01	7.949783e+00
1.984605337086495e-03	-9.657676e-02	-9.657676e-02	7.495146e+00
1.987329992361294e-03	-7.952395e-02	-7.952395e-02	6.877959e+00
1.992212804861294e-03	-4.890887e-02	-4.890887e-02	5.598872e+00
1.996655955470591e-03	-2.100971e-02	-2.100971e-02	4.309742e+00
2.001538767970591e-03	9.668213e-03	9.668213e-03	2.785700e+00
2.006421580470591e-03	4.033703e-02	4.033703e-02	1.193067e+00
2.011304392970591e-03	7.096789e-02	7.096789e-02	-4.465415e-01
2.016187205470591e-03	1.015320e-01	1.015320e-01	-2.117263e+00
2.025952830470591e-03	1.623447e-01	1.623447e-01	-5.511853e+00
2.030835642970591e-03	1.925362e-01	1.925362e-01	-7.222157e+00
2.035718455470591e-03	2.225465e-01	2.225465e-01	-8.819906e+00
2.039844290120898e-03	2.477421e-01	2.477421e-01	-9.898627e+00
2.040432845217207e-03	2.513232e-01	2.513232e-01	-9.966742e+00
2.044913457337193e-03	2.785194e-01	2.785194e-01	-9.979023e+00
2.049394069457180e-03	3.054429e-01	3.054429e-01	-9.988571e+00
2.053874681577166e-03	3.320936e-01	3.320936e-01	-9.995385e+00
2.058355293697153e-03	3.584716e-01	3.584716e-01	-9.999465e+00
2.062835905817139e-03	3.845768e-01	3.845768e-01	-1.000081e+01
2.067316517937126e-03	4.104093e-01	4.104093e-01	-9.999424e+00
2.071797130057112e-03	4.359690e-01	4.359690e-01	-9.995302e+00
2.086445567557112e-03	5.168383e-01	5.168383e-01	-9.995317e+00
2.101094005057112e-03	5.933324e-01	5.933324e-01	-9.995318e+00
2.115742442557112e-03	6.648039e-01	6.648039e-01	-9.995318e+00
2.131785969342825e-03	7.379016e-01	7.379016e-01	-9.995318e+00
2.147829496128539e-03	8.021429e-01	8.021429e-01	-9.995318e+00
2.163873022914253e-03	8.575277e-01	8.575277e-01	-9.995318e+00
2.179916549699967e-03	9.040560e-01	9.040560e-01	-9.995318e+00
2.195960076485681e-03	9.417279e-01	9.417279e-01	-9.995318e+00
2.212003603271395e-03	9.705433e-01	9.705433e-01	-9.995318e+00
2.228047130057109e-03	9.905022e-01	9.905022e-01	-9.995318e+00
2.247578380057109e-03	9.988165e-01	9.988165e-01	-9.995319e+00
2.267109630057108e-03	9.929584e-01	9.929584e-01	-9.995319e+00
2.286640880057108e-03	9.729280e-01	9.729280e-01	-9.995319e+00
2.306172130057107e-03	9.387253e-01	9.387253e-01	-9.995319e+00
2.325703380057107e-03	8.903502e-01	8.903502e-01	-9.995319e+00
2.345234630057107e-03	8.278028e-01	8.278028e-01	-9.995319e+00
2.364765880057106e-03	7.510831e-01	7.510831e-01	-9.995319e+00
2.375229049699963e-03	7.055246e-01	7.055246e-01	-9.995328e+00
2.385692219342820e-03	6.574689e-01	6.574689e-01	-9.995331e+00
2.396155388985677e-03	6.069160e-01	6.069160e-01	-9.995329e+00
2.406618558628534e-03	5.538659e-01	5.538659e-01	-9.995320e+00
2.417081728271391e-03	4.983185e-01	4.983185e-01	-9.995306e+00
2.427544897914248e-03	4.402740e-01	4.402740e-01	-9.995287e+00
2.438008067557105e-03	3.797322e-01	3.797322e-01	-9.995261e+00
2.452656505057104e-03	2.931003e-01	2.931003e-01	-9.993917e+00
2.462422130057104e-03	2.339211e-01	2.339211e-01	-9.986012e+00
