Freq.	V(vo)
1.00000000000000e+00	(1.51341522632629e+01dB,1.79996658718514e+02°)
1.02329299228075e+00	(1.51341522625801e+01dB,1.79996580890071e+02°)
1.04712854805090e+00	(1.51341522618652e+01dB,1.79996501248770e+02°)
1.07151930523761e+00	(1.51341522611165e+01dB,1.79996419752384e+02°)
1.09647819614318e+00	(1.51341522603325e+01dB,1.79996336357704e+02°)
1.12201845430196e+00	(1.51341522595116e+01dB,1.79996251020513e+02°)
1.14815362149688e+00	(1.51341522586521e+01dB,1.79996163695563e+02°)
1.17489755493953e+00	(1.51341522577520e+01dB,1.79996074336554e+02°)
1.20226443461741e+00	(1.51341522568095e+01dB,1.79995982896106e+02°)
1.23026877081238e+00	(1.51341522558225e+01dB,1.79995889325736e+02°)
1.25892541179417e+00	(1.51341522547891e+01dB,1.79995793575832e+02°)
1.28824955169313e+00	(1.51341522537069e+01dB,1.79995695595627e+02°)
1.31825673855641e+00	(1.51341522525738e+01dB,1.79995595333169e+02°)
1.34896288259165e+00	(1.51341522513872e+01dB,1.79995492735299e+02°)
1.38038426460288e+00	(1.51341522501447e+01dB,1.79995387747618e+02°)
1.41253754462275e+00	(1.51341522488437e+01dB,1.79995280314459e+02°)
1.44543977074593e+00	(1.51341522474814e+01dB,1.79995170378861e+02°)
1.47910838816821e+00	(1.51341522460548e+01dB,1.79995057882534e+02°)
1.51356124843621e+00	(1.51341522445610e+01dB,1.79994942765830e+02°)
1.54881661891248e+00	(1.51341522429968e+01dB,1.79994824967714e+02°)
1.58489319246111e+00	(1.51341522413589e+01dB,1.79994704425728e+02°)
1.62181009735893e+00	(1.51341522396438e+01dB,1.79994581075958e+02°)
1.65958690743756e+00	(1.51341522378479e+01dB,1.79994454853003e+02°)
1.69824365246174e+00	(1.51341522359674e+01dB,1.79994325689937e+02°)
1.73780082874937e+00	(1.51341522339982e+01dB,1.79994193518278e+02°)
1.77827941003892e+00	(1.51341522319362e+01dB,1.79994058267945e+02°)
1.81970085860998e+00	(1.51341522297770e+01dB,1.79993919867227e+02°)
1.86208713666287e+00	(1.51341522275161e+01dB,1.79993778242742e+02°)
1.90546071796325e+00	(1.51341522251486e+01dB,1.79993633319400e+02°)
1.94984459975804e+00	(1.51341522226695e+01dB,1.79993485020359e+02°)
1.99526231496888e+00	(1.51341522200736e+01dB,1.79993333266990e+02°)
2.04173794466953e+00	(1.51341522173554e+01dB,1.79993177978830e+02°)
2.08929613085404e+00	(1.51341522145090e+01dB,1.79993019073545e+02°)
2.13796208950223e+00	(1.51341522115285e+01dB,1.79992856466881e+02°)
2.18776162394955e+00	(1.51341522084076e+01dB,1.79992690072621e+02°)
2.23872113856834e+00	(1.51341522051395e+01dB,1.79992519802541e+02°)
2.29086765276777e+00	(1.51341522017175e+01dB,1.79992345566361e+02°)
2.34422881531992e+00	(1.51341521981341e+01dB,1.79992167271700e+02°)
2.39883291901949e+00	(1.51341521943819e+01dB,1.79991984824022e+02°)
2.45470891568503e+00	(1.51341521904528e+01dB,1.79991798126592e+02°)
2.51188643150958e+00	(1.51341521863386e+01dB,1.79991607080421e+02°)
2.57039578276886e+00	(1.51341521820305e+01dB,1.79991411584213e+02°)
2.63026799189538e+00	(1.51341521775193e+01dB,1.79991211534313e+02°)
2.69153480392691e+00	(1.51341521727956e+01dB,1.79991006824653e+02°)
2.75422870333816e+00	(1.51341521678492e+01dB,1.79990797346693e+02°)
2.81838293126445e+00	(1.51341521626697e+01dB,1.79990582989364e+02°)
2.88403150312660e+00	(1.51341521572461e+01dB,1.79990363639012e+02°)
2.95120922666638e+00	(1.51341521515669e+01dB,1.79990139179334e+02°)
3.01995172040201e+00	(1.51341521456200e+01dB,1.79989909491319e+02°)
3.09029543251359e+00	(1.51341521393929e+01dB,1.79989674453183e+02°)
3.16227766016837e+00	(1.51341521328723e+01dB,1.79989433940306e+02°)
3.23593656929628e+00	(1.51341521260444e+01dB,1.79989187825165e+02°)
3.31131121482591e+00	(1.51341521188947e+01dB,1.79988935977266e+02°)
3.38844156139202e+00	(1.51341521114080e+01dB,1.79988678263076e+02°)
3.46736850452531e+00	(1.51341521035685e+01dB,1.79988414545952e+02°)
3.54813389233575e+00	(1.51341520953596e+01dB,1.79988144686068e+02°)
3.63078054770101e+00	(1.51341520867637e+01dB,1.79987868540340e+02°)
3.71535229097172e+00	(1.51341520777628e+01dB,1.79987585962352e+02°)
3.80189396320560e+00	(1.51341520683376e+01dB,1.79987296802278e+02°)
3.89045144994280e+00	(1.51341520584683e+01dB,1.79987000906801e+02°)
3.98107170553496e+00	(1.51341520481338e+01dB,1.79986698119034e+02°)
4.07380277804112e+00	(1.51341520373123e+01dB,1.79986388278435e+02°)
4.16869383470335e+00	(1.51341520259808e+01dB,1.79986071220721e+02°)
4.26579518801592e+00	(1.51341520141153e+01dB,1.79985746777786e+02°)
4.36515832240165e+00	(1.51341520016905e+01dB,1.79985414777605e+02°)
4.46683592150962e+00	(1.51341519886802e+01dB,1.79985075044147e+02°)
4.57088189614874e+00	(1.51341519750567e+01dB,1.79984727397281e+02°)
4.67735141287197e+00	(1.51341519607912e+01dB,1.79984371652681e+02°)
4.78630092322637e+00	(1.51341519458533e+01dB,1.79984007621726e+02°)
4.89778819368445e+00	(1.51341519302115e+01dB,1.79983635111401e+02°)
5.01187233627271e+00	(1.51341519138325e+01dB,1.79983253924198e+02°)
5.12861383991364e+00	(1.51341518966815e+01dB,1.79982863858006e+02°)
5.24807460249771e+00	(1.51341518787223e+01dB,1.79982464706007e+02°)
5.37031796370252e+00	(1.51341518599167e+01dB,1.79982056256565e+02°)
5.49540873857623e+00	(1.51341518402248e+01dB,1.79981638293115e+02°)
5.62341325190348e+00	(1.51341518196048e+01dB,1.79981210594048e+02°)
5.75439937337156e+00	(1.51341517980130e+01dB,1.79980772932592e+02°)
5.88843655355588e+00	(1.51341517754037e+01dB,1.79980325076693e+02°)
6.02559586074356e+00	(1.51341517517288e+01dB,1.79979866788892e+02°)
6.16595001861481e+00	(1.51341517269382e+01dB,1.79979397826200e+02°)
6.30957344480192e+00	(1.51341517009792e+01dB,1.79978917939966e+02°)
6.45654229034654e+00	(1.51341516737968e+01dB,1.79978426875749e+02°)
6.60693448007594e+00	(1.51341516453333e+01dB,1.79977924373181e+02°)
6.76082975391980e+00	(1.51341516155284e+01dB,1.79977410165827e+02°)
6.91830970918935e+00	(1.51341515843188e+01dB,1.79976883981048e+02°)
7.07945784384136e+00	(1.51341515516383e+01dB,1.79976345539856e+02°)
7.24435960074988e+00	(1.51341515174177e+01dB,1.79975794556762e+02°)
7.41310241300916e+00	(1.51341514815843e+01dB,1.79975230739627e+02°)
7.58577575029182e+00	(1.51341514440622e+01dB,1.79974653789508e+02°)
7.76247116628690e+00	(1.51341514047716e+01dB,1.79974063400500e+02°)
7.94328234724279e+00	(1.51341513636294e+01dB,1.79973459259571e+02°)
8.12830516164097e+00	(1.51341513205482e+01dB,1.79972841046398e+02°)
8.31763771102669e+00	(1.51341512754366e+01dB,1.79972208433197e+02°)
8.51138038202374e+00	(1.51341512281990e+01dB,1.79971561084548e+02°)
8.70963589956078e+00	(1.51341511787352e+01dB,1.79970898657219e+02°)
8.91250938133743e+00	(1.51341511269402e+01dB,1.79970220799984e+02°)
9.12010839355907e+00	(1.51341510727042e+01dB,1.79969527153434e+02°)
9.33254300796988e+00	(1.51341510159121e+01dB,1.79968817349788e+02°)
9.54992586021433e+00	(1.51341509564435e+01dB,1.79968091012702e+02°)
9.77237220955808e+00	(1.51341508941722e+01dB,1.79967347757062e+02°)
9.99999999999997e+00	(1.51341508289661e+01dB,1.79966587188784e+02°)
1.02329299228075e+01	(1.51341507606870e+01dB,1.79965808904608e+02°)
1.04712854805090e+01	(1.51341506891900e+01dB,1.79965012491877e+02°)
1.07151930523760e+01	(1.51341506143235e+01dB,1.79964197528324e+02°)
1.09647819614318e+01	(1.51341505359286e+01dB,1.79963363581846e+02°)
1.12201845430196e+01	(1.51341504538391e+01dB,1.79962510210275e+02°)
1.14815362149688e+01	(1.51341503678808e+01dB,1.79961636961143e+02°)
1.17489755493953e+01	(1.51341502778714e+01dB,1.79960743371443e+02°)
1.20226443461741e+01	(1.51341501836200e+01dB,1.79959828967385e+02°)
1.23026877081238e+01	(1.51341500849267e+01dB,1.79958893264141e+02°)
1.25892541179416e+01	(1.51341499815821e+01dB,1.79957935765590e+02°)
1.28824955169313e+01	(1.51341498733670e+01dB,1.79956955964057e+02°)
1.31825673855640e+01	(1.51341497600520e+01dB,1.79955953340040e+02°)
1.34896288259165e+01	(1.51341496413965e+01dB,1.79954927361936e+02°)
1.38038426460288e+01	(1.51341495171490e+01dB,1.79953877485761e+02°)
1.41253754462275e+01	(1.51341493870459e+01dB,1.79952803154859e+02°)
1.44543977074592e+01	(1.51341492508112e+01dB,1.79951703799610e+02°)
1.47910838816820e+01	(1.51341491081560e+01dB,1.79950578837123e+02°)
1.51356124843620e+01	(1.51341489587776e+01dB,1.79949427670931e+02°)
1.54881661891248e+01	(1.51341488023593e+01dB,1.79948249690676e+02°)
1.58489319246111e+01	(1.51341486385692e+01dB,1.79947044271780e+02°)
1.62181009735892e+01	(1.51341484670600e+01dB,1.79945810775118e+02°)
1.65958690743755e+01	(1.51341482874677e+01dB,1.79944548546678e+02°)
1.69824365246174e+01	(1.51341480994116e+01dB,1.79943256917214e+02°)
1.73780082874937e+01	(1.51341479024926e+01dB,1.79941935201894e+02°)
1.77827941003892e+01	(1.51341476962932e+01dB,1.79940582699931e+02°)
1.81970085860998e+01	(1.51341474803758e+01dB,1.79939198694217e+02°)
1.86208713666286e+01	(1.51341472542827e+01dB,1.79937782450940e+02°)
1.90546071796324e+01	(1.51341470175340e+01dB,1.79936333219196e+02°)
1.94984459975804e+01	(1.51341467696278e+01dB,1.79934850230590e+02°)
1.99526231496887e+01	(1.51341465100382e+01dB,1.79933332698829e+02°)
2.04173794466952e+01	(1.51341462382144e+01dB,1.79931779819307e+02°)
2.08929613085403e+01	(1.51341459535801e+01dB,1.79930190768675e+02°)
2.13796208950222e+01	(1.51341456555313e+01dB,1.79928564704407e+02°)
2.18776162394954e+01	(1.51341453434360e+01dB,1.79926900764352e+02°)
2.23872113856833e+01	(1.51341450166320e+01dB,1.79925198066279e+02°)
2.29086765276776e+01	(1.51341446744264e+01dB,1.79923455707405e+02°)
2.34422881531991e+01	(1.51341443160930e+01dB,1.79921672763921e+02°)
2.39883291901948e+01	(1.51341439408720e+01dB,1.79919848290502e+02°)
2.45470891568502e+01	(1.51341435479674e+01dB,1.79917981319801e+02°)
2.51188643150957e+01	(1.51341431365459e+01dB,1.79916070861940e+02°)
2.57039578276885e+01	(1.51341427057346e+01dB,1.79914115903988e+02°)
2.63026799189537e+01	(1.51341422546199e+01dB,1.79912115409416e+02°)
2.69153480392690e+01	(1.51341417822449e+01dB,1.79910068317555e+02°)
2.75422870333815e+01	(1.51341412876076e+01dB,1.79907973543029e+02°)
2.81838293126444e+01	(1.51341407696588e+01dB,1.79905829975185e+02°)
2.88403150312659e+01	(1.51341402272998e+01dB,1.79903636477496e+02°)
2.95120922666637e+01	(1.51341396593804e+01dB,1.79901391886967e+02°)
3.01995172040200e+01	(1.51341390646958e+01dB,1.79899095013512e+02°)
3.09029543251358e+01	(1.51341384419847e+01dB,1.79896744639328e+02°)
3.16227766016837e+01	(1.51341377899263e+01dB,1.79894339518245e+02°)
3.23593656929627e+01	(1.51341371071373e+01dB,1.79891878375071e+02°)
3.31131121482590e+01	(1.51341363921696e+01dB,1.79889359904908e+02°)
3.38844156139201e+01	(1.51341356435067e+01dB,1.79886782772470e+02°)
3.46736850452530e+01	(1.51341348595605e+01dB,1.79884145611366e+02°)
3.54813389233574e+01	(1.51341340386682e+01dB,1.79881447023383e+02°)
3.63078054770100e+01	(1.51341331790886e+01dB,1.79878685577740e+02°)
3.71535229097171e+01	(1.51341322789985e+01dB,1.79875859810331e+02°)
3.80189396320559e+01	(1.51341313364886e+01dB,1.79872968222952e+02°)
3.89045144994279e+01	(1.51341303495598e+01dB,1.79870009282501e+02°)
3.98107170553495e+01	(1.51341293161187e+01dB,1.79866981420170e+02°)
4.07380277804111e+01	(1.51341282339733e+01dB,1.79863883030612e+02°)
4.16869383470333e+01	(1.51341271008283e+01dB,1.79860712471091e+02°)
4.26579518801591e+01	(1.51341259142801e+01dB,1.79857468060610e+02°)
